rank	username	minecraft:dropped/minecraft:blue_wool
1	thewindmillman	112628
2	noam464	74586
3	EcksD	21438
4	Hermanni__	3456
5	Ezekson	2054
6	PhantomsGhost_	1728
7	HellsSponge	1521
8	eitanzaki	1164
9	beeperbeeper5	1121
10	Blaiku	1017
11	ConnorDanky_	748
12	xolstoi	384
13	Mythic1130	256
14	Blu3beast	195
15	Mattesco	193
16	lordpipe	185
17	Smashic	180
18	Xclax101	151
19	Legendosh	127
20	YungMaki	106
21	fw3xywashere	86
22	Hyp3rion_	82
23	Di_infiri	75
24	Werbe	74
25	ROY4LE	65
25	CalebDHawk	65
27	Mobstr	64
27	MeanTugger	64
27	Fuad_R	64
27	Shogunite	64
31	gusstationwerker	60
32	Dogcorn69420	59
33	TechnoNinja64	58
34	luseis	41
35	Lez_	39
36	PigDab	36
37	Merv__	34
38	pintsizedrogue	32
39	weabis	26
40	Nycteus_	22
40	Jij0	22
42	seanitoo	18
42	MyNameIsDakar	18
44	bloodbiter	17
45	Jackattack53	14
46	Mahoose	13
47	__Auspicious	12
48	Rumpletaezer	11
49	xxPipperDipperxx	9
49	FreakGenius	9
49	33sudo	9
52	kekhon	8
53	Frozil20	7
53	Kyrum2169	7
55	PazinGaming	6
55	gaziter10	6
55	Crowman1	6
55	Soplight	6
55	lcvezra	6
55	Zoeyfortnite	6
61	Arceus1975	5
61	Snowflowe	5
61	EveryonesUncle	5
64	Blackberry1310	4
64	Tjhodskins19	4
64	Racengan	4
64	bladeefan2009	4
68	TheSecondLord	3
68	NomadicRobin_	3
68	Spacewardharpy7	3
68	SSytex_X	3
68	laron58	3
73	dabloons	2
73	EMC_	2
73	heckface	2
73	dopplexd	2
73	MattieHD	2
73	__Fanda__	2
73	RoofTyler	2
73	SvenskaHugo	2
73	UCP_TheKingK	2
73	SammiWolfGirl	2
73	jnp_gaming	2
84	RebelAndroid	1
84	NieToksikpl	1
84	jushykins	1
84	MrExplorer	1
84	Fullut	1
84	theonlymagikarp	1
84	shadowthemonkey	1
84	shrimp_flips	1
84	Eraxa	1
84	Kowcio_	1
84	Skippeh	1
84	Quotary	1
