rank	username	minecraft:dropped/minecraft:iron_ingot
1	Hyp3rion_	456386
2	noam464	218270
3	Blaiku	146874
4	thewindmillman	109560
5	EcksD	96109
6	eitanzaki	58383
7	EMC_	45937
8	Spacewardharpy7	40013
9	Jackattack53	36129
10	Di_infiri	25146
11	Hisiste	24674
12	thescout7	5292
13	mwrty	4723
14	Miko_Fullbuster	4297
15	Smoke____	3992
16	beeperbeeper5	3791
17	HellsSponge	3086
18	Fuad_R	2822
19	Chromary	2800
20	ImpavidArcher	2526
21	PigDab	2360
22	Werbe	2252
23	YungMaki	2013
24	MightyWertu	1879
25	TechnoNinja64	1724
26	rarrq	1616
27	youhjjhhhjj	1285
28	Smashic	1214
29	Corbsman	1204
30	Mahoose	1183
31	The_slideV3	1102
32	Segotep999	1079
33	jnp_gaming	1052
34	Jiminie	900
35	chipklip	822
36	NomadicRobin_	814
37	groofles	801
38	KG1999	760
39	oxfordschool	729
40	MyNameIsJobo	714
41	Kyrum2169	629
42	Freak_Genius	619
43	fade_emerge78823	614
44	EcksDofficial	613
45	lillips	608
46	WET_WET_WET	601
47	r123moore	596
48	Frozil12	591
49	stahouo	589
50	Blu3beast	583
51	StinkyDiplomat	576
52	cichy096	568
53	JESS_THE_RERE	547
54	ToastedGamingYT	538
54	obzii	538
56	k1ngGilgamesh	535
57	wTXop	511
58	kekhon	489
59	KingMatthew506	463
60	diamondgolem35	456
61	SvenskaHugo	447
62	pintsizedrogue	440
63	MeetTheWollo	437
64	Slavisaa	432
64	fffMike	432
66	lordpipe	419
67	ayamefag	414
68	Inbefour	405
69	TheWildMateo	403
70	I_Am_Mushkin	397
71	Ezekson	373
72	Reamdin	367
73	Masssonnn	335
73	Wowful	335
75	Eraxa	322
76	TheSecondLord	296
77	__tomato	289
78	Powowowow	282
79	Nicserso	249
80	WyngGoy	248
81	Fullut	240
81	ProbsNotNova	240
83	Njensen7	233
84	seanitoo	231
84	T045RTY	231
86	Zoeyfortnite	230
87	lotarp	217
88	Shogunite	210
89	mihimihimihi	208
90	Racengan	207
91	Soap_Bender	205
92	yulgur1	202
93	Historical_Sand	201
94	jushykins	197
95	picardred	196
95	Blackberry1310	196
97	gcaisawesome	195
98	_Virify_	192
98	KermitTheKripple	192
98	layabout100	192
101	Akoot_	190
102	arcanemagic	189
103	TheDankPlatypus	178
104	TooManyDuck	177
104	Cryptacity	177
106	redikul	176
107	SpacesickPrism	173
108	SammiWolfGirl	170
109	Inchef	168
109	AssFullaCum	168
111	eviltunix	167
111	tsitrawhy	167
113	Groundler	165
114	AlexxO_o	163
115	Menthas	161
116	lilsay	160
116	Drewen24	160
118	tsohomie	157
119	MattieHD	156
119	Bumpy419	156
119	Enderslayerxz3	156
122	Soul_Atreus	149
123	Awyrlas	146
124	hm947	140
125	_Nuf	137
125	Quaintster	137
125	fluddd	137
125	laron58	137
129	kyouma777	135
130	intropass	134
130	sadvavilloso	134
132	Comma__	132
132	Dali1465	132
134	Marbz_	131
135	Spenduh	130
135	Quotary	130
137	Vicemaniac	128
137	Soplight	128
137	Eczbek	128
140	Sral7	127
141	Frxnkz	124
141	JMK208	124
143	Skylord_Luke	122
144	kinas45y5	121
145	jiggywraps	118
146	Rainaldus	116
147	joethahobo	115
148	gabriels543	113
148	fred870d	113
150	BlancoFlaco	108
150	NameGenerat0r	108
152	RodSerlingCringe	105
153	heysushii	103
153	carloselpapii	103
155	Drlzyy	100
155	emrekn	100
157	H72l9w	99
158	funeralhome	97
158	starbits140	97
160	ManUtdBoy_	95
161	Lord_Jord	94
162	xxPipperDipperxx	91
162	MovingFish7	91
164	PhantomsGhost_	90
164	CaptainDeadBread	90
166	Teebone15	87
167	500am	86
167	_Karmaa	86
169	jimintyy	85
169	Onennon	85
171	Xclax101	84
172	FirsTimeGamingTV	82
172	DaviusMaximoose	82
172	jewbacaman	82
175	Groovy_MoonBird	81
176	G1ldor	80
177	Tjhodskins19	79
177	Russiancat1	79
179	AltnumberF4	78
180	monky_irl	77
181	TheDiamondCG	76
182	epiksk8erduck	74
183	Cowison	73
183	bigstankyy	73
185	SquadMonster	72
185	tramizu	72
185	prizm_	72
185	Luigipunch989	72
189	ROY4LE	71
190	Bandito_Roamer	70
190	SuperPooch06	70
190	Maenara	70
193	Steelynan	69
194	Alteriity	68
194	MrExplorer	68
194	RedcatVII	68
197	NinjaKnifeKill	67
197	lcvezra	67
199	TinMaster	66
199	07shiny	66
201	Natty	65
201	Nicky_H225	65
201	domagawha	65
204	caltosy	64
204	BoraMC	64
204	burbankbuilder28	64
204	ibarker21	64
204	MangoTheFish	64
204	iTurbo	64
204	Jimi7hits	64
204	Negriuke	64
204	Quincannon	64
204	Toriankel	64
214	DirtyDalle	63
214	FishisTTV	63
216	Merv__	62
216	Valoth	62
216	m_be9	62
216	Forcolp	62
216	420BreadLizard	62
216	Nekomin0	62
222	dartwaffle	60
223	The_Thund	59
223	ApophisNova	59
223	Ze_BaronKrigler	59
223	MyNamaSheff	59
227	Hiryu27	58
227	OnlyOfficial	58
229	Z3braYTIL	57
230	GOOBERGABE04	56
230	aa2x_	56
230	419mmurphy	56
233	valiSW	55
233	Omar_Alone	55
235	SaucyDark	54
235	_Dean_123	54
235	CruncyIsTaken	54
238	itburb	53
238	Wooptey	53
238	OfficerAnvil	53
241	DanTheBuilderino	52
241	_Dri_	52
243	6king6colt6	51
243	__TheNorseMan__	51
243	FlashMigma	51
243	Nagasaki_Riku	51
243	PlasticOtari	51
248	dudcreeper	49
248	Skippeh	49
250	MeanTugger	48
251	Scathra	47
251	stavgod	47
251	UCP_TheKingK	47
251	stellarjay	47
251	LeeMcGee30	47
256	Batoser	46
256	brodie335	46
258	Cattoh	45
258	NormanFetus	45
258	SirBreadward	45
261	boog4loo	44
261	SpookyDraggin	44
261	Nycteus_	44
261	SkateboardR6	44
265	fanofbands101	43
265	KingFaenor	43
265	KarlKaek	43
265	Airem_Core	43
265	2blox	43
270	Prismyst	42
271	Mewar	41
272	SyK7	40
273	JEWISHBadenBeele	39
273	censorsheep	39
273	IdeallyGrey	39
276	dezxalo	38
276	CapnLegacy	38
276	EveryonesUncle	38
276	PortlyPete69	38
280	Kamflame10	37
280	Zorin_Blitz	37
280	CollinMH06	37
280	cwartzo	37
280	Holden_17	37
280	CalebDHawk	37
286	Neemuuri	36
286	WarMachina	36
286	ChrisKyleST3	36
286	SUN_DREAM	36
286	Kowcio_	36
286	Weepingbiel	36
292	JustAWill_	35
292	Gmoney390	35
292	avalan64	35
295	KeruNatsema	34
295	Yahir091	34
295	NebulousBadger	34
295	33sudo	34
295	MilleGrug	34
300	NotKaden_	33
