rank	username	minecraft:dropped/minecraft:diamond_horse_armor
1	Freak_Genius	7
1	Miko_Fullbuster	7
3	kekhon	3
4	fanofbands101	2
4	SaucyDark	2
4	Flores991	2
4	thescout7	2
4	Rebytre	2
4	seramalen	2
4	Akoot_	2
4	_Bguette_	2
4	DarlaMeow	2
4	fluddd	2
4	Hisiste	2
4	Kowcio_	2
4	KingMatthew506	2
4	Nicserso	2
4	vandmanden	2
19	pintsizedrogue	1
19	Groovy_MoonBird	1
19	Menthas	1
19	TildaAndrea	1
19	Bad_At_Names_Guy	1
19	Hpdinosaur	1
19	Wooptey	1
19	eitanzaki	1
19	T045RTY	1
19	Alteriity	1
19	Barjas	1
19	MinttyFressh	1
19	TheDiamondCG	1
19	Fullut	1
19	set67	1
19	mwrty	1
19	ROY4LE	1
19	xxPipperDipperxx	1
19	TylerDupree	1
19	CollinMH06	1
19	thewindmillman	1
19	RyuNeko932000	1
19	pappaberg	1
19	Bumpy419	1
19	Onennon	1
19	AlexxO_o	1
19	Maenara	1
19	fw3xywashere	1
19	lillips	1
19	chipklip	1
19	Quaintster	1
19	GravitySaint	1
19	Blaiku	1
19	YungMaki	1
19	Kyrum2169	1
19	Segotep999	1
19	stahouo	1
19	lcvezra	1
19	PortlyPete69	1
19	jcool7	1
19	oxfordschool	1
19	Sral7	1
19	kinas45y5	1
