rank	username	minecraft:dropped/minecraft:brown_mushroom_block
1	Blaiku	4733
2	lillips	564
3	thewindmillman	463
4	Di_infiri	230
5	Werbe	193
6	YungMaki	130
7	gcaisawesome	123
7	Xclax101	123
9	Blackberry1310	121
10	joethahobo	65
11	Nicserso	64
12	Akoot_	60
13	Hyp3rion_	53
14	eitanzaki	50
14	beeperbeeper5	50
16	SyntheticSurgeon	47
17	burbankbuilder28	46
18	groofles	45
19	MightyWertu	42
20	MinttyFressh	33
21	Frozil20	28
22	Jackattack53	27
23	Hpdinosaur	21
24	lcvezra	14
25	chipklip	11
25	claivin	11
27	oxfordschool	10
28	noam464	8
29	PortlyPete69	7
30	Killercatty78	3
30	MovingFish7	3
30	calamariclam_I	3
33	fred870d	1
33	LexMakesHistory	1
33	HellsSponge	1
33	KingMatthew506	1
