rank	username	minecraft:dropped/minecraft:damaged_anvil
1	eitanzaki	51
2	kekhon	10
3	noam464	6
4	Chromary	3
4	Blu3beast	3
4	Eraxa	3
7	elicobnoah	2
7	lordpipe	2
9	Furiuosbeast0404	1
9	beeperbeeper5	1
9	rarrq	1
9	Comma__	1
9	Kamflame10	1
9	PigDab	1
9	Akoot_	1
9	Soap_Bender	1
9	Freak_Genius	1
9	Groundler	1
9	Racengan	1
9	KG1999	1
9	YungMaki	1
9	SSytex_X	1
9	oxfordschool	1
9	TechnoNinja64	1
9	kinas45y5	1
