rank	username	minecraft:dropped/minecraft:blue_stained_glass_pane
1	noam464	312
2	MattieHD	64
3	masskedman	59
4	Blaiku	31
5	beeperbeeper5	26
5	AssFullaCum	26
7	ese_wn_po	15
8	bloodbiter	13
8	Di_infiri	13
8	lillips	13
8	EcksDofficial	13
12	burbankbuilder28	11
13	RedcatVII	10
14	little_dUki	8
15	Comma__	7
16	eitanzaki	5
16	fallingemma	5
18	pintsizedrogue	4
19	Blackberry1310	3
19	Soplight	3
19	Smoke____	3
22	ShedJr_	2
22	Hyp3rion_	2
22	Freak_Genius	2
22	SSytex_X	2
22	UltraZombie	2
22	cichy096	2
28	Merv__	1
28	Mahoose	1
28	rarrq	1
28	MrExplorer	1
28	SteveCraftBlocks	1
28	2Stout	1
28	__Fanda__	1
28	gloryoftherain	1
28	TheShyPig	1
28	OverallConcept	1
28	laron58	1
28	aubergined	1
