rank	username	minecraft:dropped/minecraft:yellow_glazed_terracotta
1	500am	300
2	joethahobo	87
3	Akoot_	46
4	eitanzaki	35
5	kekhon	21
6	Werbe	12
6	lordpipe	12
8	AnnieBathory	9
9	noam464	8
10	q_wq	6
11	Soplight	4
12	Blackberry1310	3
12	Enderslayerxz3	3
12	jnp_gaming	3
15	Mahoose	2
15	OverallConcept	2
15	Blaiku	2
15	laron58	2
19	Mr_Byzantine	1
19	rarrq	1
19	jushykins	1
19	TylerDupree	1
19	__Fanda__	1
19	CarltheCuck	1
19	Di_infiri	1
19	Zythose	1
19	CalebDHawk	1
19	sebastiensaborio	1
19	Skippeh	1
19	Ezekson	1
19	kinas45y5	1
