rank	username	minecraft:dropped/minecraft:soul_soil
1	Zythose	26133
2	Jackattack53	1826
3	Hyp3rion_	1734
4	noam464	884
5	lillips	491
6	Krowuss	477
7	Di_infiri	466
8	Xalithia	432
9	pintsizedrogue	387
10	eitanzaki	342
11	PigDab	315
12	beeperbeeper5	253
13	Spacewardharpy7	206
14	AstreaTSS	193
15	Enderxz3	189
16	T045RTY	161
16	Segotep999	161
18	Spenduh	160
19	NomadicRobin_	159
20	EMC_	149
21	Masssonnn	138
22	Winklepicker279	137
23	RebelAndroid	135
24	thewindmillman	129
25	k_ce	121
26	Racengan	116
27	monky_irl	112
28	rarrq	108
29	Eraxa	105
30	Alteriity	104
31	EcksD	102
32	Druid95	98
33	MilleGrug	88
34	AdmiralSmoke	86
35	Blaiku	82
36	AuroraSkies	78
37	Iamthejo	74
38	Ryan_GEMS	67
39	gcaisawesome	64
40	Megarboh	63
40	HellsSponge	63
42	trexgb	59
43	Nicserso	49
44	TheSecondLord	46
45	Swexti	44
46	YungMaki	42
47	iSammael	41
47	RadarHz	41
49	Skylord_Luke	40
50	jnp_gaming	38
51	Touched_Bread	36
52	hm947	35
52	Elastiq	35
54	HolyVenom	33
54	masskedman	33
56	fffMike	32
57	kekhon	31
57	r123moore	31
59	Killercatty78	30
60	SyntheticSurgeon	29
61	Rebytre	27
61	AlexxO_o	27
61	Thomez_	27
64	CliffEmAll	26
64	set67	26
66	diamondgolem35	25
67	Historical_Sand	24
67	Kakolbus	24
69	PlasticOtari	23
70	Apollo_993	22
70	fw3xy74	22
70	Manaateee	22
70	SingedBread	22
70	__tomato	22
70	Legendosh	22
76	TheBananaKat	19
77	Kura2218	18
78	Werbe	17
78	djancak	17
80	q_wq	16
80	Arceus1975	16
82	KeruNatsema	15
82	Wowful	15
82	gustarlep	15
82	jewishnoselong	15
86	Paint	14
86	Awyrlas	14
86	DanTheBuilderino	14
86	MirielThePastor	14
90	prizm_	13
90	PortlyPete69	13
92	SmashingPump	12
92	ImpavidArcher	12
92	DarkS0L	12
92	FreakGenius	12
96	teslawolf38	10
96	Nicky_H225	10
96	Smashic	10
96	Snowflowe	10
96	Moofyman	10
96	Hermanni__	10
102	NinjaKnifeKill	9
102	diggydog67	9
104	jushykins	8
104	12Magner05	8
104	LeauVox4921	8
104	ReSynced	8
104	_Mythic____	8
104	SammiWolfGirl	8
110	JohnnyFyes	7
110	Inchef	7
110	TheDankPlatypus	7
110	zToasty69z	7
110	LeonelSalamanca	7
110	weabis	7
110	00000000-0000-0000-0009-01ff0c3e5e4f	7
117	Blackberry1310	6
117	500am	6
117	4774	6
117	KGTV	6
117	ROY4LE	6
117	xxPipperDipperxx	6
117	SaintJosie	6
117	Skippeh	6
125	ogoa	5
126	ChampPog_	4
126	NieToksikpl	4
126	UncreativeArtist	4
126	yheece	4
126	Eczbox	4
126	Luminad3	4
126	KujikawaRisechi	4
126	_i_ERROR_i_	4
126	Winston_Ingram	4
126	Eczbek	4
136	PazinGaming	3
136	Wooptey	3
136	jacxhadow	3
136	mattybeewrapss	3
136	Secret_Canary	3
136	fade_emerge78823	3
136	luseis	3
136	Kubeusz2010	3
144	H0UNDFRMH3LL	2
144	_Huge_Male_	2
144	AshleeCW	2
144	ShedJr_	2
144	Lez_	2
144	Da_Boss_Rani	2
144	Tiberonus	2
144	TheThomas69	2
144	Chromary	2
144	El_Jalapeno	2
144	IdeallyGrey	2
144	pixelviolin	2
144	SirBreadward	2
144	FishisTTV	2
158	CLG_Kata	1
158	CloroxBleach385	1
158	Badenbeele	1
158	dimondking777	1
158	shineh10	1
158	I_Am_Mushkin	1
158	MrKrabOnCoke	1
158	IgnoredBee	1
158	ccwildfire1	1
158	_Dean_123	1
158	Kkanot	1
158	mimbo1211	1
158	JitteryJared2	1
158	F_Uhre	1
158	SvenskaAlvar	1
158	lizardfightclub	1
158	mihimihimihi	1
158	WyngGoy	1
158	Kowcio_	1
158	Ezekson	1
158	xolstoi	1
