rank	username	minecraft:dropped/minecraft:armor_stand
1	Jackattack53	116
2	oscminus	115
3	noam464	95
4	Lez_	72
5	emreknugrlu	69
6	thewindmillman	66
7	pintsizedrogue	38
8	kekhon	37
9	eitanzaki	36
10	EMC_	35
10	Kowcio_	35
12	lordpipe	30
13	Minimize501	18
14	beeperbeeper5	16
15	masskedman	15
16	KarlKaek	14
16	xzvu	14
18	Pumpkin_P_Patch	12
19	DairyNickel756	11
20	TheSecondLord	10
20	doublemaki	10
22	Mahoose	9
22	EveryonesUncle	9
22	Racengan	9
25	RobotMinion101	8
26	robertsnose	7
26	Rani_R	7
28	ImpavidArcher	6
28	Di_infiri	6
28	luseis	6
28	mihimihimihi	6
28	cichy096	6
33	Hyp3rion_	5
33	EdGalbraith	5
33	_i_ERROR_i_	5
33	Kubeusz2010	5
33	Yamdalorian	5
38	Mr_Byzantine	4
38	diamondgolem35	4
38	set67	4
38	Mattesco	4
38	Jiminbub	4
38	Spacewardharpy7	4
38	iSammael	4
38	PlasticOtari	4
38	FishisTTV	4
47	Sleek_Storm_721	3
47	T045RTY	3
47	joethahobo	3
47	skroobiez	3
47	lpinfinity	3
47	k1ngGilgamesh	3
47	Segotep999	3
47	Jimb0nat0r	3
55	DinoDoctor_	2
55	Bad_At_Names_Guy	2
55	Kakolbus	2
55	craaaash	2
55	Rumpletaezer	2
55	GreedyFern8581	2
55	Akoot_	2
55	Dakar_	2
55	HellsSponge	2
55	FreakGenius	2
55	El_Jalapeno	2
55	hermmm_	2
55	EcksD	2
55	Enderxz3	2
55	h2p_emrld	2
70	k_ce	1
70	seanitoo	1
70	CLG_Kata	1
70	Merv__	1
70	teslawolf38	1
70	Frozil20	1
70	Huwulling	1
70	ShedJr_	1
70	Gregward_Smith	1
70	picardred	1
70	Tersea_	1
70	Saucepeh	1
70	jacxhadow	1
70	bloodbiter	1
70	_Nuf	1
70	SteveCraftBlocks	1
70	lorpus	1
70	xxPipperDipperxx	1
70	KingEgg1	1
70	bl1ss0	1
70	Karetoko	1
70	Arceus1975	1
70	wTXop	1
70	Werbe	1
70	AlexxO_o	1
70	fw3xy	1
70	NomadicRobin_	1
70	fkGrim	1
70	m2wa	1
70	Fuad_R	1
70	_Karmaa	1
70	Swiffin	1
70	_flud	1
70	Blaiku	1
70	Warlord324	1
70	Druid95	1
70	Synthoum	1
70	SvenskaHugo	1
70	ConnorDanky_	1
70	Quotary	1
70	RoboTramp7865	1
70	Nicserso	1
