rank	username	minecraft:dropped/minecraft:mossy_cobblestone_stairs
1	EMC_	30
2	Seyaboy	10
3	FreakGenius	8
4	Kowcio_	7
4	EcksD	7
6	_Huge_Male_	3
6	PazinGaming	3
6	Skylord_Luke	3
9	Touched_Bread	2
9	seramalen	2
9	groofles	2
12	soundad	1
12	BlancoFlaco	1
12	500am	1
12	Onennon	1
12	Lord_Jord	1
