rank	username	minecraft:dropped/minecraft:soul_torch
1	SammiWolfGirl	463
2	gcaisawesome	456
3	Blaiku	256
4	noam464	237
5	skrongus	192
6	diamondgolem35	176
7	Skylord_Luke	138
8	ConnorDanky_	130
9	_Huge_Male_	128
10	Mahoose	127
11	eitanzaki	103
12	00000000-0000-0000-0009-01f26ea966c4	98
13	AdmiralSmoke	67
14	Huwulling	64
14	kekhon	64
14	Billious	64
17	thewindmillman	58
18	mihimihimihi	48
19	k_ce	41
20	beeperbeeper5	36
21	Segotep999	30
22	Jackattack53	27
23	0Vyp_	26
24	TheBananaKat	25
25	H0UNDFRMH3LL	24
26	tramizu	19
27	Tiberonus	17
27	cichy096	17
29	Da_Boss_Rani	13
30	Kowcio_	12
31	TheSecondLord	9
32	FishyBoy3811	7
32	lordpipe	7
34	Eraxa	5
35	PlasticOtari	4
36	luseis	3
36	Fuad_R	3
36	Enderxz3	3
39	_Virify_	2
39	LeonelSalamanca	2
39	Spacewardharpy7	2
39	AssFullaCum	2
43	Alteriity	1
43	Lez_	1
43	joethahobo	1
43	Historical_Sand	1
43	Inchef	1
43	Hyp3rion_	1
43	Mattesco	1
43	Lord_Jord	1
43	Optiprimus	1
43	YungMaki	1
