rank	username	minecraft:dropped/minecraft:purple_dye
1	thewindmillman	878440
2	noam464	29464
3	HellsSponge	196
4	_Nuf	190
5	ConnorDanky_	160
6	WET_WET_WET	74
7	Hyp3rion_	70
8	sxc_	64
9	pintsizedrogue	57
10	xzvu	56
10	Sral7	56
12	Snowflowe	54
13	Blaiku	39
13	lordpipe	39
15	Lez_	28
15	Inchef	28
17	eitanzaki	18
18	GlitchyPlate810	14
19	Merv__	12
20	UrbanPlanningEx	7
21	EcksD	6
22	NomadicRobin_	5
22	Blu3beast	5
24	Groovy_MoonBird	4
24	Xclax101	4
24	PortlyPete69	4
27	Wooptey	3
27	Fullut	3
27	Racengan	3
27	HesDemonPants	3
27	Smoke____	3
27	00000000-0000-0000-0009-01ff0c3e5e4f	3
33	oreee	2
33	Malorn_Aetherius	2
33	Kowcio_	2
33	jnp_gaming	2
37	Bandito_Roamer	1
37	beeperbeeper5	1
37	jushykins	1
37	kekhon	1
37	mwrty	1
37	Jackattack53	1
37	Onennon	1
37	Mattesco	1
37	BRRRN179	1
37	AuroraSkies	1
37	luseis	1
37	Tyrannosplart	1
37	StinkyDiplomat	1
37	lolpoottoot	1
37	Cocoamallows	1
37	Eraxa	1
37	SSytex_X	1
37	lcvezra	1
37	Dogcorn69420	1
37	anbbang	1
37	bladeefan2009	1
