rank	username	minecraft:dropped/minecraft:string
1	Hyp3rion_	205491
2	thewindmillman	48169
3	PigDab	38885
4	Eczbek	34744
5	noam464	18541
6	eitanzaki	7207
7	Blaiku	5783
8	mwrty	4646
9	lordpipe	4377
10	MAns_44	3559
11	emreknugrlu	3307
12	Jackattack53	3163
13	HellsSponge	2948
14	joethahobo	2663
15	EcksD	2580
16	Blackberry1310	2330
17	beeperbeeper5	2118
18	k_ce	2030
19	mariominejedi	1917
20	Yamdalorian	1891
21	Spacewardharpy7	1835
22	Kowcio_	1760
23	Awyrlas	1733
24	Bumpy419	1689
25	Shogunite	1680
26	Fullut	1669
27	rarrq	1394
28	Ezekson	1281
29	mihimihimihi	1274
30	Masssonnn	1233
31	YungMaki	1189
32	Di_infiri	1181
33	Mattesco	1132
34	Segotep999	1106
35	Snowflowe	1083
36	StarCookiees_	1032
37	thescout7	983
38	gcaisawesome	944
39	The11thDoctor	938
40	Mahoose	936
41	MattieHD	863
42	hanaryheatwave	821
43	Krowuss	814
44	tuckerdoodle	786
45	Historical_Sand	690
46	EveryonesUncle	685
47	TechnoNinja64	664
48	RebelAndroid	612
49	_Mythic____	611
50	Tyrannosplart	605
51	Frozil20	594
52	Deathkob	553
53	TheSecondLord	533
54	Nicserso	518
55	Mewar	515
55	Skippeh	515
57	Werbe	512
58	Enderxz3	481
59	DarlaMeow	479
60	XboxPanda	463
60	StinkyDiplomat	463
60	Racengan	463
63	Lez_	461
64	Eraxa	457
65	Alteriity	403
66	luseis	398
67	PlasticOtari	382
68	ConnorDanky_	377
69	jnp_gaming	372
70	Chromary	363
71	weabis	355
72	fade_emerge78823	344
73	EMC_	343
74	Winklepicker279	339
75	ImpavidArcher	338
75	Secret_Canary	338
77	MilleGrug	337
78	kekhon	320
79	Wowful	317
80	MightyWertu	315
81	Manaateee	312
82	Steelynan	302
83	F_Uhre	297
84	ECstardust	294
85	FreakGenius	288
86	abdomera	278
86	paranoid_plant	278
88	NameGenerat0r	273
89	Blu3beast	269
90	diamondgolem35	261
91	Soplight	253
92	set67	252
93	NomadicRobin_	245
94	Archsam	243
95	LilLizardWizard	241
96	oscminus	240
97	500am	239
97	AlexxO_o	239
99	Groovy_MoonBird	237
100	Pumpkin_P_Patch	236
101	pintsizedrogue	235
101	xzvu	235
103	IamCL4SSY	233
104	ThatMan_Dave	231
105	RebytreGT	229
106	Shiirazu	227
107	Samificator	223
108	Spenduh	220
109	Skylord_Luke	216
110	Groundler	200
111	Xclax101	194
112	Smashic	191
113	FishisTTV	190
114	Luminad3	186
115	FishyBoy3811	184
115	07shiny	184
117	I_Am_Mushkin	183
118	Cowison	182
119	Arceus1975	181
120	12Magner05	179
120	remmisrat	179
122	SkateboardR6	178
122	PortlyPete69	178
122	Zoeyfortnite	178
125	h2p_emrld	175
126	non089	174
127	PhantomsGhost_	171
127	AuroraValkyrie	171
129	q_wq	169
130	WyngGoy	164
131	vandmanden	163
132	ProfessorBee	161
133	ExtraDumb	160
134	SuperPooch06	159
135	SquadMonster	157
135	skitzxo	157
137	Onennon	155
138	Lord_Zacler	154
139	Rumpletaezer	148
139	Zythose	148
141	platinumzero	146
142	ReSynced	143
143	SvenskaHugo	141
144	PazinGaming	140
144	SUN_DREAM	140
146	M_Patata	139
146	RobotMinion101	139
146	claivin	139
149	himak1	138
149	Kakolbus	138
151	SammiWolfGirl	135
152	Jonafrog99	134
153	SmashingPump	133
154	MoistMicrowave	132
155	Rich_Kat	131
155	MasterNueve	131
157	Lord_Jord	129
158	ougstur	128
158	Warlord324	128
160	LordSpeed37	127
161	Fuad_R	126
162	_Dean_123	125
163	_Virify_	124
163	T045RTY	124
163	zToasty69z	124
163	Jimb0nat0r	124
167	SirPiccardo	123
168	Crowman1	122
168	UncreativeArtist	122
170	yulgur1	120
170	Hisiste	120
170	_i_ERROR_i_	120
173	Iamthejo	119
174	NatalieTW	114
175	MrKrabOnCoke	113
176	emrekn	110
177	QueenShuvi	109
178	Flores991	108
178	pretty_pink_reno	108
180	lotarp	107
180	fw3xy74	107
180	obzii	107
183	Bandito_Roamer	106
184	Ryan_GEMS	104
185	BlancoFlaco	103
185	lorywithay	103
185	Nach0Bear	103
185	TheSeismicDuck	103
189	Touched_Bread	102
189	MakeHistory157	102
191	Jovaphobic	97
191	Hpdinosaur	97
193	pixelviolin	96
194	CattSoup	95
195	Huwulling	94
196	PeteO1995	93
196	Hahaa_0	93
198	Gemstuff	92
198	ApophisNova	92
198	MyNamaSheff	92
201	JETrotter	91
201	Quaintster	91
201	elliebelle107	91
204	Kkanot	89
204	fffMike	89
206	CoffeeNoir	87
206	Nicky19	87
208	excelsionprime	86
208	True_Clipse	86
208	EdGalbraith	86
211	_TCARREIRA_	85
212	_Huge_Male_	84
212	Apollo_993	84
212	livingdaydreams	84
212	MSK__	84
212	lorpus	84
212	censorsheep	84
212	Cocoamallows	84
219	CrateOfBoxes	83
219	MS_Pryxx	83
219	UrbanPlanningEx	83
222	Nicky_H225	81
223	wezzzi	80
224	TheSandwhich_	78
225	KarlKaek	77
226	NinjaKnifeKill	75
226	CollinMH06	75
226	CalebDHawk	75
226	TheBananaKat	75
230	Harotio	74
230	burbankbuilder28	74
230	Buuck_	74
233	seanitoo	72
233	Malorn_Aetherius	72
235	Killercatty78	71
235	QuesoCrusaderIII	71
237	Dogcorn69420	70
237	Njensen7	70
239	Tolhart	69
239	jcool7	69
241	ROY4LE	68
242	SpaceGrenadier	67
242	AspenLightVT	67
242	__tomato	67
245	TheDankPlatypus	66
245	Dakar_	66
245	starbits140	66
248	fr0stss	65
249	Bazongoman	64
249	Akoot_	64
249	laron58	64
252	fluddd	63
252	Powowowow	63
254	shadowthemonkey	62
254	El_Jalapeno	62
254	cichy096	62
257	301851	61
257	Motsaro	61
257	Covalents	61
260	Saucepeh	60
260	EfficientC52	60
260	sp00ky_ghost977	60
260	TheWickedBird	60
264	eviltunix	59
265	ZaneABrain	58
265	crashomon	58
265	TheKingK_	58
268	Da_Boss_Rani	56
268	Hiryu27	56
268	stavgod	56
271	Furiuosbeast0404	54
271	Kura2218	54
273	TooPure2	53
273	Scathra	53
273	fkGrim	53
273	blackeemperor	53
273	MovingFish7	53
278	Marbz_	52
278	Maenara	52
280	MuffinManzz	51
280	SteveCraftBlocks	51
280	masskedman	51
280	ediballbearings	51
284	Thaumatarge	50
284	2Stout	50
284	ClemenPine	50
284	annebolyn	50
288	SyntheticSurgeon	49
288	bloodbiter	49
288	Cortexia	49
288	NATE_the_HALO	49
288	FormulaNewt3627	49
293	Comma__	48
293	MinttyFressh	48
293	sammidk	48
293	RadarHz	48
297	Sral7	47
297	00000000-0000-0000-0009-01ff0c3e5e4f	47
299	Mr_Byzantine	46
299	xxPipperDipperxx	46
