rank	username	minecraft:dropped/minecraft:dead_bubble_coral_block
1	eitanzaki	26
2	Lez_	19
3	thewindmillman	13
4	Skylord_Luke	11
4	1442	11
6	pintsizedrogue	10
7	kekhon	9
7	lillips	9
7	ConnorDanky_	9
10	SaintJosie	8
11	Irko	7
11	djancak	7
13	Bumpy419	6
14	ImpavidArcher	4
14	DarkLawD	4
16	Enderxz3	3
17	Bandito_Roamer	2
17	surfinggiraffejp	2
17	silverpopcorn	2
20	Jackattack53	1
20	SuperPooch06	1
20	Nicky19	1
20	sufjanlover	1
20	HellsSponge	1
20	QueenShuvi	1
20	SSytex_X	1
20	gusstationwerker	1
20	Fizznut909	1
