rank	username	minecraft:dropped/minecraft:stripped_birch_log
1	Uzbeki_John	216
2	PortlyPete69	201
3	Smoke____	173
4	ooga47	119
5	EcksD	99
6	Legendosh	58
7	_Karmaa	34
8	Mahoose	31
9	kekhon	29
10	sebastiensaborio	28
11	PigDab	22
12	2Stout	20
13	lordpipe	18
13	Luigipunch989	18
15	whoaluv	13
15	HesDemonPants	13
17	shyshyannne	12
17	Onennon	12
19	fr0stss	11
20	Blackberry1310	10
21	BlancoFlaco	9
22	LokisCharredFace	7
22	anbbang	7
24	Chromary	6
24	Akoot_	6
24	EcksDofficial	6
27	beeperbeeper5	5
27	Spenduh	5
29	TheSecondLord	4
29	Kowcio_	4
29	UrbanPlanner1978	4
32	Cowison	3
32	Di_infiri	3
32	Hiryu27	3
32	NameGenerat0r	3
32	Racengan	3
32	07shiny	3
38	fanofbands101	2
38	Franco093	2
38	CoffeeNoir	2
38	ShedJr_	2
38	NotMeanttoChange	2
38	Stiar	2
38	kars0n	2
38	Zielo2017PL	2
38	DC_XII	2
38	HolyVenom	2
38	sxc_	2
38	chipklip	2
38	MovingFish7	2
38	OG_Songsee	2
38	vandmanden	2
53	Bandito_Roamer	1
53	Merv__	1
53	eitanzaki	1
53	T045RTY	1
53	awesomeoneme	1
53	Simon_Lowell	1
53	joethahobo	1
53	ratglock	1
53	FemboyFwuit	1
53	Fullut	1
53	redikul	1
53	Awyrlas	1
53	Dali1465	1
53	noam464	1
53	XboxPanda	1
53	Kakolbus	1
53	Jackattack53	1
53	WET_WET_WET	1
53	Werbe	1
53	Truckoss	1
53	TheShyPig	1
53	_naturell	1
53	BigCronkin	1
53	AssEatrAndLicker	1
53	MightyWertu	1
53	Blaiku	1
53	Groundler	1
53	Dusk_95	1
53	Xovalt_	1
53	Optiprimus	1
53	KingMatthew506	1
53	kinas45y5	1
