rank	username	minecraft:dropped/minecraft:bow
280	hanaryheatwave	10
280	Fuad_R	10
280	Toriankel	10
280	DennyKai	10
280	jcool7	10
280	Dreamdbr14	10
280	Powowowow	10
295	NatalieTW	9
295	Mr_Byzantine	9
295	I_Am_Mushkin	9
295	diamondgolem35	9
295	BlancoFlaco	9
295	hm947	9
