rank	username	minecraft:dropped/minecraft:glass
1	thewindmillman	122436
2	noam464	58518
3	EcksD	21817
4	Hyp3rion_	15493
5	TechnoNinja64	10149
6	eitanzaki	4714
7	Blaiku	4605
8	joethahobo	4431
9	lillips	3432
10	Ezekson	3003
11	NomadicRobin_	2837
12	Frozil12	2733
13	mwrty	2670
14	luckykill123	2557
15	Smoke____	2094
16	Werbe	2058
17	ImpavidArcher	1874
18	fred870d	1800
19	oxfordschool	1708
20	shrimp_flips	1632
21	PhantomsGhost_	1487
22	lordpipe	1466
23	Di_infiri	1265
24	stahouo	1210
25	Blu3beast	1143
26	thescout7	1134
27	alderban107	1125
28	PigDab	1068
29	Jackattack53	1038
30	Mahoose	1016
31	MightyWertu	1003
32	Nicserso	848
33	HellsSponge	842
34	Comma__	826
35	beeperbeeper5	824
36	Snowflowe	797
37	Bandito_Roamer	770
38	Miko_Fullbuster	758
39	UCP_TheKingK	723
40	Mobstr	704
41	Hisiste	685
42	Blackberry1310	660
43	Akoot_	636
44	Spacewardharpy7	632
45	Groundler	620
46	gcaisawesome	618
47	ApophisNova	615
47	MyNamaSheff	615
49	Dedalus36	613
50	ThePoliteG	588
51	vandmanden	584
52	jnp_gaming	575
53	_Karmaa	557
54	diamondgolem35	528
55	sandmire	512
56	PlasticOtari	497
57	Hiryu27	490
58	Freak_Genius	474
59	chipklip	469
60	Sky_light_KING	464
61	kekhon	459
61	Dogcorn69420	459
63	Drlzyy	458
64	Racengan	441
65	Kakolbus	425
66	KomputerDude	416
67	Awyrlas	394
68	EMC_	391
69	Wooptey	385
70	SquadMonster	384
71	Fuad_R	383
72	CliffEmAll	377
73	r123moore	355
74	Arceus1975	353
75	YungMaki	350
76	robotemo	340
77	Fullut	325
77	WyngGoy	325
79	obzii	324
80	MinttyFressh	318
81	DarkLawD	312
82	Soplight	304
83	Bumpy419	302
84	lizardfightclub	274
85	Ardennes	273
86	_Virify_	272
87	JEWISHBadenBeele	270
88	Steelynan	259
89	ToastedGamingYT	256
90	12Magner05	250
91	Merv__	223
92	pixelviolin	215
93	Smashic	214
93	Rebytre	214
95	censorsheep	213
96	MyNameIsJobo	202
97	MSK__	200
98	Lez_	195
99	eviltunix	192
99	Fuhrer_Teemo	192
99	Winston_Ingram	192
102	Kateesaur	184
103	TheThomas69	174
104	Nycteus_	172
105	seanitoo	168
106	Leyna3	166
107	SteveCraftBlocks	163
108	hm947	162
109	AlexxO_o	160
110	MeetTheWollo	158
111	TheDankPlatypus	154
112	TheSecondLord	151
113	I_Am_Mushkin	147
114	BumbleBeever	146
115	Eraxa	137
116	_Dean_123	132
116	_Bguette_	132
118	sxc_	129
118	MilleGrug	129
120	jimintyy	128
120	TheDiamondCG	128
120	500am	128
120	Z3braYTIL	128
120	Motsaro	128
120	DSYisDizzy	128
120	MangoTheFish	128
120	MinerDec	128
120	GravitySaint	128
120	Matorz	128
120	Eczbek	128
120	Sral7	128
132	Xclax101	123
133	M_Patata	121
133	MasterNueve	121
135	emrekn	119
136	Inbefour	118
137	Chromary	117
138	seramalen	112
139	himak1	111
140	Marbz_	108
141	xxPipperDipperxx	104
142	6king6colt6	100
143	T045RTY	98
144	Inchef	96
145	Wowful	94
146	ItzWqlfy	92
146	Zoeyfortnite	92
148	kinas45y5	90
149	TJawesome09	86
150	pintsizedrogue	85
151	carloselpapii	84
151	Segotep999	84
153	XboxPanda	81
154	Soap_Bender	80
155	RebelAndroid	78
155	k1ngGilgamesh	78
157	CollinMH06	76
158	DemTechAlpha	74
159	PortlyPete69	73
160	FreddyFart	71
160	SammiWolfGirl	71
162	MovingFish7	70
163	Powowowow	69
164	fffMike	68
165	Onennon	67
165	masskedman	67
165	DarlaMeow	67
168	MattieHD	66
168	Voxin2K	66
168	Shiirazuku	66
168	Shogunite	66
168	laron58	66
168	anbbang	66
174	2Stout	65
174	fallingemma	65
174	07shiny	65
177	Jorrdi	64
177	KarlKaek	64
177	Alteriity	64
177	lotarp	64
177	FirsTimeGamingTV	64
177	MrMattyPatt	64
177	Drewen24	64
177	audiocracked	64
177	NYJ	64
177	RedcatVII	64
177	ItsDeltaMC	64
177	MakeHistory157	64
177	GlitchyPlate810	64
190	TheTrueClipse	61
191	monky_irl	60
192	SaucyDark	59
192	Sheldor097	59
194	JMK208	56
194	SkateboardR6	56
196	Rumpletaezer	55
196	KingMatthew506	55
198	BreadBacon	54
199	GoofyBread	52
200	DirtyDalle	51
201	Frxnkz	50
201	TheWildMateo	50
203	ProfessorBee	48
204	boog4loo	47
205	CoffeeNoir	46
205	Spenduh	46
207	Incinere	43
207	Babushka0430	43
209	jewbacaman	42
209	fkGrim	42
211	Ecplosive	41
211	IAmTheWalrus910	41
211	_Wannabe_	41
214	Kkanot	40
215	Tjhodskins19	39
215	Th6masss	39
217	Elprone266	37
217	ItsAki_	37
217	Kowcio_	37
217	AltnumberF4	37
221	Skylord_Luke	35
221	UrbanPlanner1978	35
223	Xalithia	34
223	killmeiamtraitor	34
223	YungWali	34
223	Nagasaki_Riku	34
227	Jiminbub	33
227	JESS_THE_RERE	33
229	maxdacatv2	32
229	awesomeoneme	32
229	GingerNeutron	32
229	SpookyDraggin	32
229	Russiancat1	32
234	Shin69	31
235	dimondking777	30
235	AJplaysMC_	30
237	itburb	29
238	Hpdinosaur	28
238	ooga47	28
240	Groovy_MoonBird	27
241	Invisie	26
242	ZaneABrain	25
242	SSytex_X	25
244	LexMakesHistory	24
244	Enderslayerxz3	24
246	dudcreeper	23
246	Mewar	23
246	FlashMigma	23
246	PlzNoBM	23
250	Ssor69	22
250	mariominejedi	22
250	Luminad3	22
250	RodSerlingCringe	22
254	Tmb1	21
254	KlausVonStiglitz	21
254	QueenOfDirt	21
257	Doom_melon	20
257	mafiKiwi	20
257	calamariclam_I	20
260	Gingayy	19
260	ketaminmann	19
260	benediktine1	19
260	RobotMinion101	19
260	cichy096	19
265	rarrq	18
265	mimbo1211	18
265	ese_wn_po	18
265	fluddd	18
265	stavgod	18
265	VentiHilton	18
271	_Nuf	17
271	lcvezra	17
271	ProbsNotNova	17
271	trexgb	17
275	ROY4LE	16
275	Njensen7	16
275	2blox	16
278	groofles	15
278	EcksDofficial	15
280	Lord_Jord	14
280	FishisTTV	14
282	jspwn	13
282	Masssonnn	13
282	33sudo	13
285	tuckerdoodle	12
285	ratglock	12
285	Factoroni	12
285	ayamefag	12
285	djancak	12
285	FGamerJ	12
291	UncreativeArtist	11
292	Tobinator_007	10
292	Kynigito	10
292	sammidk	10
292	Nicky19	10
292	MyNameIsDakar	10
297	ImDisconnected_	9
297	KnightmareD	9
297	El_Jalapeno	9
300	Natty	8
