rank	username	minecraft:dropped/minecraft:suspicious_stew
1	noam464	74
2	Freak_Genius	70
3	Smoke____	56
4	TechnoNinja64	53
5	beeperbeeper5	32
6	PigDab	28
7	Racengan	26
8	_Virify_	15
8	RebelAndroid	15
10	Mahoose	12
10	Di_infiri	12
12	chipklip	11
13	Werbe	10
13	AssEatrAndLicker	10
15	slkiey	9
16	Drlzyy	8
17	rarrq	6
17	Onennon	6
17	Soplight	6
17	FishisTTV	6
21	Kamflame10	5
21	SlayerCrypto	5
21	Sky_light_KING	5
21	EveryonesUncle	5
21	HellsSponge	5
21	Blu3beast	5
21	pixelviolin	5
21	Powowowow	5
29	SaucyDark	4
29	Lukeee33	4
29	joethahobo	4
29	Ardennes	4
33	Comma__	3
33	Fullut	3
33	natajimi	3
33	jambvds	3
33	NameGenerat0r	3
33	JosephCW	3
33	LetsDoItLive	3
33	jnp_gaming	3
41	fanofbands101	2
41	TooManyDuck	2
41	Sna_Ke	2
41	Euclidoris	2
41	Blackberry1310	2
41	kekhon	2
41	redikul	2
41	thescout7	2
41	Irko	2
41	fred870d	2
41	CarryLine	2
41	Dan_Scha	2
41	RodSerlingCringe	2
41	master9067	2
41	QueenShuvi	2
41	MovingFish7	2
41	_TCARREIRA_	2
58	Bandito_Roamer	1
58	heysushii	1
58	HollieDaNugget	1
58	eitanzaki	1
58	ewsophie	1
58	Natty	1
58	H72l9w	1
58	TheEnusa	1
58	tramizu	1
58	Chickenchaser2	1
58	12Magner05	1
58	shyshyannne	1
58	500am	1
58	Scattman_	1
58	Tmb1	1
58	Mewar	1
58	mimbo1211	1
58	TableTim	1
58	CollinMH06	1
58	Jackattack53	1
58	AJplaysMC_	1
58	calajimi	1
58	AnnieBathory	1
58	MousePlays	1
58	TheTrueClipse	1
58	NomadicRobin_	1
58	XxCookiequeenxX	1
58	lillips	1
58	Toiton	1
58	Karbl	1
58	DarlaMeow	1
58	Xclax101	1
58	marumochis	1
58	LordAurum	1
58	Vorlice	1
58	NotMeowMix	1
58	sp00ky_ghost977	1
58	Eraxa	1
58	starbits140	1
58	ediballbearings	1
58	lcvezra	1
58	SammiWolfGirl	1
58	PortlyPete69	1
58	Dogcorn69420	1
58	MilleGrug	1
58	Hermanni__	1
58	HesDemonPants	1
58	UrbanPlanner1978	1
58	Sral7	1
58	remmisrat	1
58	diggydog67	1
