rank	username	minecraft:dropped/minecraft:medium_amethyst_bud
1	diamondgolem35	15
2	thewindmillman	14
3	Hyp3rion_	13
4	Smashic	3
5	dartwaffle	2
5	binman420	2
5	Kowcio_	2
5	Spenduh	2
9	Rebytre	1
9	NomadicRobin_	1
9	lordpipe	1
9	Enderslayerxz3	1
