rank	username	minecraft:dropped/minecraft:diorite
1	thewindmillman	90386
2	PigDab	49033
3	noam464	44162
4	Spacewardharpy7	29071
5	Ezekson	27964
6	joethahobo	16996
7	Blaiku	16896
8	EcksD	14914
9	YungMaki	12170
10	Di_infiri	11171
11	beeperbeeper5	10787
12	eitanzaki	10383
13	gcaisawesome	10171
14	Werbe	9394
15	12Magner05	8955
16	Iamthejo	6409
17	EMC_	5963
18	Chromary	5600
19	Steelynan	5556
20	lordpipe	5478
21	TheShyPig	5457
22	FallenCorps	5271
23	Franco093	4719
24	Skippeh	4654
25	TheSecondLord	4645
26	Xclax101	4587
27	Kakolbus	4042
28	FelixPSY375	3750
29	gusstationwerker	3730
30	ProfessorBee	3657
31	Fullut	3572
32	Esme_1	3487
33	MirielThePastor	3420
34	kekhon	3321
35	thescout7	3311
36	Hisiste	3290
37	HellsSponge	3288
38	xzvu	3161
39	The11thDoctor	3117
40	Bumpy419	3025
41	lillips	2843
42	Jackattack53	2824
43	pintsizedrogue	2735
44	h2p_emrld	2716
45	Smoke____	2659
46	livingdaydreams	2469
47	Blackberry1310	2392
48	Hyp3rion_	2314
49	MilleGrug	2235
50	Inchef	2199
51	500am	2170
52	FreakGenius	2158
53	Rumpletaezer	2099
54	Skylord_Luke	2096
55	RealGroot	2061
56	NameGenerat0r	2046
57	Mahoose	1971
58	Onennon	1949
59	TechnoNinja64	1947
60	Racengan	1943
61	vandmanden	1889
62	Akoot_	1880
63	EveryonesUncle	1878
64	jnp_gaming	1876
65	XboxPanda	1860
66	alderban107	1830
67	mwrty	1814
68	CoffeeNoir	1759
69	LordSpeed37	1758
70	fluddd	1716
71	rarrq	1715
72	NomadicRobin_	1698
73	PortlyPete69	1695
74	Hermanni__	1656
75	Zoeyfortnite	1626
76	_Virify_	1575
77	lotarp	1558
78	Frozil20	1550
79	m_be9	1514
80	GlitchyPlate810	1502
81	Blu3beast	1483
82	WET_WET_WET	1478
83	SpaceGrenadier	1476
84	Toriankel	1447
85	Tyrannosplart	1414
86	MattieHD	1265
87	SaucyDark	1247
88	Ecplosive	1245
89	Groovy_MoonBird	1193
90	Eraxa	1189
91	set67	1174
92	_Dean_123	1168
93	PhantomsGhost_	1162
94	Kowcio_	1155
95	UncreativeArtist	1153
96	Njensen7	1151
97	Kura2218	1108
98	Scathra	1098
99	non089	1092
100	Nicserso	1067
101	SkateboardR6	1045
102	T045RTY	1036
103	I_Am_Mushkin	1020
104	ConnorDanky_	1018
105	NatalieTW	1008
106	yulgur1	1001
107	Wooptey	991
108	ApophisNova	972
108	MyNamaSheff	972
110	Enderxz3	969
111	PlzNoBM	961
112	fkGrim	958
113	Swexti	942
114	SquadMonster	937
115	Arceus1975	931
116	Corbsman	919
117	diamondgolem35	909
118	El_Jalapeno	906
119	F_Uhre	905
119	CalebDHawk	905
121	drunkeeez	893
122	RebelAndroid	884
122	trexgb	884
124	weabis	880
125	r123moore	851
126	__tomato	834
127	Paintz	828
128	HesDemonPants	814
129	claivin	791
130	Wowful	787
130	mihimihimihi	787
132	Teebone15	786
133	Powowowow	774
134	_Nuf	770
134	Winklepicker279	770
136	Kyrum2169	762
137	brofrickcheaters	758
138	Nicky_H225	755
139	Inbefour	747
139	ElectricDragon81	747
141	SuperPooch06	745
141	UrbanPlanningEx	745
143	bigstankyy	743
144	Soplight	735
145	ImpavidArcher	728
146	soundad	720
147	binman420	719
148	SSytex_X	708
149	geekbird	696
150	Jiminbub	691
151	jcool7	689
152	boog4loo	677
153	SammiWolfGirl	676
154	Ssor69	664
154	Malorn_Aetherius	664
156	bladeefan2009	662
157	xxPipperDipperxx	660
158	Hiryu27	659
159	NieToksikpl	656
160	Afinnity	608
161	Soap_Bender	601
162	Cocoamallows	584
163	surfinggiraffejp	568
163	UltraZombie	568
165	Kamflame10	564
166	monky_irl	546
167	Covalents	537
167	FishyBoy3811	537
169	KarlKaek	532
169	TheWildMateo	532
169	anbbang	532
172	NYJ	524
173	Groundler	519
174	emrekn	517
175	BlankityMcBlank	516
176	Hpdinosaur	508
177	MightyWertu	504
178	Houstonion	503
179	SUN_DREAM	498
180	Jimi7hits	497
181	CadenSteele	492
182	BoraMC	488
183	gabriels543	484
184	BobDeBouwer1337	482
185	luseis	478
186	BigCronkin	476
187	Mythic1130	473
188	ShedJr_	469
189	PeteO1995	467
190	wezzzi	463
191	Majonezzon	458
192	BlancoFlaco	456
192	Jonte0599	456
194	CollinMH06	452
195	Awyrlas	448
196	_Razaria	447
196	Sral7	447
198	Dogcorn69420	443
199	NotKaden_	441
200	SlayerCrypto	438
201	Humpcat	437
202	Strangemonkey71	418
203	Sabby65	404
204	fw3xywashere	402
205	PuFY	398
205	_k2x	398
207	Historical_Sand	395
208	The_Quack_Dealer	392
209	SellyZ	387
210	Kferno	385
211	TheBiggestFeller	384
211	Maenara	384
213	Zythose	383
214	Kubelz	382
215	OverallConcept	376
216	hcb238	375
216	_Karmaa	375
218	Quaintster	374
219	JohnnyFyes	369
220	djancak	368
221	Rasmanden	365
222	RobotMinion101	360
223	2bolx_	357
224	YungWali	353
225	ZA07	352
226	Lez_	349
226	little_dUki	349
228	lorpus	344
228	jewbacaman	344
230	masskedman	336
231	IAmTheWalrus910	334
232	Kukkelikuk	331
233	Nargotah	330
234	ayamefag	329
235	prizm_	328
235	fffMike	328
237	Kubeusz2010	324
238	benediktine1	320
239	C0oOK13M0N5T3R	319
240	Travka100	318
241	abramgray	316
242	ElKaySVK	315
243	stavgod	314
244	DaviusMaximoose	313
245	Warlord324	312
246	IdeallyGrey	311
247	KliBeast21	310
248	Azmodan_246	309
249	ougstur	308
249	_Yonk_	308
251	xolstoi	305
252	domagawha	304
252	AlphaWolfPlaysMC	304
254	malgosia14	301
255	ColeSnyder	300
256	eviltunix	299
257	ori0le	298
258	SyntheticSurgeon	296
259	Cowison	295
259	silverpopcorn	295
261	NotTrixi	293
262	__Auspicious	292
263	epiksk8erduck	290
263	Dreamdbr14	290
265	burbankbuilder28	289
266	paranoid_plant	288
267	layabout100	286
268	SvenskaHugo	284
269	ClemenPine	283
270	bloomkieren	281
271	JKendig	280
272	crying_wolf_13	276
273	Gundam_Steven	274
274	Eczbek	272
275	Jackster03	271
276	Shiirazu	270
277	Snowflowe	267
278	NotP0tato	265
278	Da_Boss_Rani	265
278	MangoTheFish	265
281	Stiar	262
282	501g	261
283	shrimp_flips	257
284	Hoid_the_Roamer	256
284	MustaLoordi	256
286	MunkaKris	255
286	Lord_Jord	255
286	Typadopoulos	255
289	Auseawesome	254
289	MovingFish7	254
291	Fuad_R	252
292	elicobnoah	251
292	6king6colt6	251
294	Incinere	248
295	Comma__	245
295	DTwenty	245
297	JayToe	244
298	LittleIan365	242
299	ese_wn_po	237
299	n0qtrnL	237
