rank	username	minecraft:dropped/minecraft:pink_stained_glass
1	jnp_gaming	512
2	SpacesickPrism	256
3	PigDab	122
4	lordpipe	111
5	Steelynan	48
6	Billious	39
7	Tyrannosplart	23
8	EcksD	22
9	Groovy_MoonBird	18
10	thewindmillman	14
11	TechnoNinja64	12
12	ShedJr_	10
12	Werbe	10
14	Blaiku	7
15	Cocoamallows	5
15	Earlesstrain4	5
17	Smoke____	4
18	beeperbeeper5	3
18	AltnumberF4	3
20	Lez_	2
20	kekhon	2
20	Inchef	2
20	BlankityMcBlank	2
24	SaucyDark	1
24	Mahoose	1
24	mwrty	1
24	MightyWertu	1
24	Groundler	1
24	Soplight	1
