rank	username	minecraft:dropped/minecraft:axolotl_bucket
1	500am	259
2	_i_ERROR_i_	94
3	noam464	72
4	Jackattack53	30
5	Manaateee	23
6	Huwulling	21
7	Kowcio_	20
8	skroobiez	13
8	RebytreGT	13
10	luseis	11
11	Lez_	9
11	SuperPooch06	9
13	Jimb0nat0r	7
14	Blackberry1310	6
14	NomadicRobin_	6
16	Alteriity	5
16	Mahoose	5
16	Hyp3rion_	5
16	YungMaki	5
16	WYFYoyo	5
21	ECstardust	4
21	AlexxO_o	4
23	Apollo_993	3
23	shadowthemonkey	3
23	shrimp_flips	3
23	Moss_2006	3
23	Yamdalorian	3
28	_Huge_Male_	2
28	joethahobo	2
28	TheSecondLord	2
28	crashomon	2
28	Malware_Mara	2
28	Luminad3	2
28	EveryonesUncle	2
28	Sorry_Arey	2
28	Dakar_	2
28	fluddd	2
28	StarCookiees_	2
28	CattSoup	2
40	Groovy_MoonBird	1
40	chipklip	1
40	SoosAmongus	1
40	PazinGaming	1
40	SmashingPump	1
40	diamondgolem35	1
40	T045RTY	1
40	CaracolCxnt	1
40	MinttyFressh	1
40	kekhon	1
40	SteveCraftBlocks	1
40	Nach0Bear	1
40	lorpus	1
40	Juansinmiedo18	1
40	xxPipperDipperxx	1
40	drunkeeez	1
40	Marbz_	1
40	KanyeBiggestFan	1
40	Jonafrog99	1
40	hanaryheatwave	1
40	Werbe	1
40	Akoot_	1
40	yulgur1	1
40	NumbaOneMunch	1
40	Yahir091	1
40	Spacewardharpy7	1
40	lordpipe	1
40	CheifJumbo	1
40	Pumpkin_P_Patch	1
40	Soplight	1
40	SammiWolfGirl	1
40	SpacesickPrism	1
40	Kubeusz2010	1
40	EcksD	1
40	Enderxz3	1
40	2blox_	1
