rank	username	minecraft:dropped/minecraft:orange_tulip
1	500am	2462
2	eitanzaki	580
3	Werbe	521
4	lordpipe	382
5	Smoke____	337
6	thewindmillman	312
7	Blackberry1310	225
8	Hyp3rion_	176
9	Jackattack53	154
10	Mahoose	126
11	beeperbeeper5	118
11	sadvavilloso	118
13	Freak_Genius	113
14	Lez_	85
15	Arceus1975	84
16	fluddd	67
17	lillips	64
18	Racengan	54
19	BiggieDawg	49
20	NomadicRobin_	48
21	T045RTY	45
22	Uzbeki_John	38
23	BlancoFlaco	36
24	Xclax101	35
25	fxiryglitch	30
26	kekhon	24
27	Di_infiri	21
28	boog4loo	20
29	joethahobo	17
29	Akoot_	17
31	seramalen	14
32	ImpavidArcher	13
33	thescout7	12
33	Its_Risk	12
33	TechnoNinja64	12
36	noam464	11
36	SammiWolfGirl	11
38	picardred	10
38	xxPipperDipperxx	10
40	Skylord_Luke	9
40	Onennon	9
40	Njensen7	9
40	Legendosh	9
44	babyjimmyneutron	8
45	M_Patata	7
45	Shiirazuku	7
45	MasterNueve	7
48	Nicky_H225	6
48	PeteO1995	6
48	Jeteight	6
48	HellsSponge	6
48	MelodyGaysharks	6
53	Merv__	5
53	AngalexikCZ	5
53	Dali1465	5
53	Eraxa	5
53	YungMaki	5
53	Sheldor097	5
59	TildaAndrea	4
59	CoffeeNoir	4
59	TheDiamondCG	4
59	Fullut	4
59	vampgey	4
59	StormPool	4
59	UrbanPlanner1978	4
59	calamariclam_I	4
67	Groovy_MoonBird	3
67	Bandito_Roamer	3
67	SaucyDark	3
67	301851	3
67	Historical_Sand	3
67	ratglock	3
67	ABUSNA1996	3
67	ProfessorBee	3
67	Nach0Bear	3
67	burbankbuilder28	3
67	EcksDofficial	3
78	Iagoku	2
78	Vizzoid	2
78	toetagnyc	2
78	iccd	2
78	Hiryu27	2
78	Truckoss	2
78	epiksk8erduck	2
78	Nicky19	2
78	Jiminie	2
78	sufjanlover	2
78	Meatlaugh	2
78	NameGenerat0r	2
78	Hisiste	2
78	LordSpeed37	2
78	_Tilariel_	2
78	Steelynan	2
78	jnp_gaming	2
78	camando92	2
78	00000000-0000-0000-0009-01f898304150	2
97	Whalezz	1
97	pintsizedrogue	1
97	LovelyDane	1
97	Frozil20	1
97	itburb	1
97	TooManyDuck	1
97	ShedJr_	1
97	Da_Boss_Rani	1
97	Ssor69	1
97	TheSecondLord	1
97	GingerNeutron	1
97	Motsaro	1
97	intropass	1
97	Tjhodskins19	1
97	Xalithia	1
97	Typkazprahe	1
97	Ecplosive	1
97	xambsam	1
97	Chromary	1
97	sarahlynn00	1
97	LAVA129	1
97	AnnieBathory	1
97	DAD_1996	1
97	ApophisNova	1
97	Rook_iii	1
97	fred870d	1
97	BRRRN179	1
97	PigDab	1
97	TheShyPig	1
97	thgrocks	1
97	ToastedGamingYT	1
97	valkam13	1
97	wobn	1
97	Toowny	1
97	Shogunite	1
97	Quaintster	1
97	El_Jalapeno	1
97	MightyWertu	1
97	Blaiku	1
97	SkateboardR6	1
97	pixelviolin	1
97	lcvezra	1
97	PortlyPete69	1
97	PlzNoBM	1
97	Moetis	1
97	CalebDHawk	1
97	fffMike	1
97	bitsplease	1
97	ScarmedLeft	1
97	oxfordschool	1
97	EcksD	1
97	MyNamaSheff	1
97	mountaingirl311	1
97	kinas45y5	1
97	h2p_emrld	1
97	Faart	1
