rank	username	minecraft:dropped/minecraft:gray_concrete
1	noam464	32681
2	Hyp3rion_	15742
3	Jackattack53	3479
4	eitanzaki	705
5	Blaiku	484
6	Glumb0	464
7	ImpavidArcher	369
8	pintsizedrogue	300
9	Enderxz3	240
10	Lez_	231
11	Akoot_	186
12	Di_infiri	168
13	TechnoNinja64	143
14	thewindmillman	135
15	YungMaki	128
16	_Mythic____	118
17	Blu3beast	96
18	PazinGaming	86
19	Mattesco	79
20	Inchef	78
21	emreknugrlu	75
22	EcksD	67
23	rarrq	64
23	TheSecondLord	64
23	500am	64
26	NameGenerat0r	63
27	Spacewardharpy7	60
28	Manaateee	58
29	skitzxo	43
30	Xclax101	42
31	AltnumberF4	36
32	Jimb0nat0r	29
33	Buuck_	19
34	77Holly7	18
35	DinoDoctor_	12
36	myaccountwasgone	11
36	beeperbeeper5	11
36	CalebDHawk	11
39	_Huge_Male_	10
40	Uzbeki_John	8
40	Kowcio_	8
40	TheKingK_	8
43	I_Am_Mushkin	6
43	thescout7	6
43	Sheldor097	6
46	Merv__	4
46	Gundam_Steven	4
46	Hiryu27	4
46	k1ngGilgamesh	4
50	MunkaKris	3
50	Mahoose	3
50	shadowthemonkey	3
50	Werbe	3
50	Cruncy_	3
50	lordpipe	3
50	fffMike	3
50	PlasticOtari	3
50	TheWickedBird	3
59	m_be9	2
59	eclipseboi	2
59	Blammm	2
59	xxPipperDipperxx	2
59	Covalents	2
59	bl1ss0	2
59	GreedyFern8581	2
59	Skylord_Luke	2
59	AspenLightVT	2
59	deleteduser3c11b	2
69	Frozil20	1
69	KarlKaek	1
69	joethahobo	1
69	Blackberry1310	1
69	Hetti301	1
69	yaboo88	1
69	Dan_Scha	1
69	groofles	1
69	Inbefour	1
69	EveryonesUncle	1
69	HellsSponge	1
69	FreakGenius	1
69	Eraxa	1
69	PortlyPete69	1
69	Vellu21	1
69	Quotary	1
69	FishisTTV	1
