rank	username	minecraft:dropped/minecraft:sculk_catalyst
1	Hyp3rion_	16694
2	Jackattack53	147
3	noam464	44
4	Archsam	28
5	Fuad_R	20
6	luseis	10
7	Segotep999	9
8	YungMaki	8
8	TheBananaKat	8
10	AlexxO_o	7
11	ECstardust	5
11	ImpavidArcher	5
11	beeperbeeper5	5
14	pintsizedrogue	4
14	SoosAmongus	4
14	thewindmillman	4
14	Soplight	4
18	k_ce	3
18	PazinGaming	3
18	RatatJuice	3
21	royal_2	2
21	RebytreGT	2
21	Manaateee	2
21	StarCookiees_	2
21	Kowcio_	2
26	Apollo_993	1
26	SmashingPump	1
26	shineh10	1
26	myaccountwasgone	1
26	diamondgolem35	1
26	nattybears	1
26	SyntheticSurgeon	1
26	Mahoose	1
26	Lez_	1
26	MrKrabOnCoke	1
26	Sleepy_Time_	1
26	rarrq	1
26	Blackberry1310	1
26	TheSecondLord	1
26	MinttyFressh	1
26	MattieHD	1
26	corvidpartyfor6	1
26	Juansinmiedo18	1
26	Kakolbus	1
26	Di_infiri	1
26	hanaryheatwave	1
26	Luminad3	1
26	StinkyDiplomat	1
26	Jimb0nat0r	1
26	00000000-0000-0000-0009-01ff0c3e5e4f	1
