rank	username	minecraft:dropped/minecraft:spruce_wood
1	beeperbeeper5	287
2	Yamdalorian	179
3	rarrq	73
4	Chromary	64
4	Eraxa	64
6	Caribouse	51
7	PlasticOtari	39
8	Jimb0nat0r	31
9	Flores991	30
9	Cartoonmaniac	30
11	craaaash	29
12	TheSecondLord	23
13	lordpipe	21
14	Huwulling	19
14	Kowcio_	19
16	SquadMonster	17
16	EcksD	17
18	noam464	14
19	eitanzaki	13
19	kekhon	13
21	thescout7	11
22	Rebytre	9
22	Leyna3	9
24	EveryonesUncle	8
24	Manaateee	8
26	Groundler	6
27	Blaiku	5
28	Mahoose	4
29	PazinGaming	3
29	KermitTheKripple	3
29	HesDemonPants	3
32	H0UNDFRMH3LL	2
32	diamondgolem35	2
32	ImpavidArcher	2
32	Lez_	2
32	500am	2
32	Mr_Sun15	2
32	The_Quack_Dealer	2
32	KamFurnace	2
32	diggydog67	2
41	pintsizedrogue	1
41	Merv__	1
41	w3nd3lbo3	1
41	Blackberry1310	1
41	MattieHD	1
41	Masssonnn	1
41	Di_infiri	1
41	cedric72	1
41	FishyBoy3811	1
41	Spacewardharpy7	1
41	TheSandwhich_	1
