rank	username	minecraft:dropped/minecraft:lime_shulker_box
1	Hyp3rion_	144
2	thewindmillman	123
3	Lez_	11
4	Blu3beast	9
5	Jackattack53	8
5	EcksD	8
7	NameGenerat0r	6
8	joethahobo	5
8	Euclidoris	5
8	HellsSponge	5
11	LeDuctTape	4
11	lillips	4
11	Tyrannosplart	4
11	CattSoup	4
15	eitanzaki	3
15	T045RTY	3
15	Fullut	3
15	noam464	3
15	Akoot_	3
15	luseis	3
15	lordpipe	3
15	Kowcio_	3
15	Enderxz3	3
15	TechnoNinja64	3
25	teslawolf38	2
25	Huwulling	2
25	Mahoose	2
25	fade_emerge78823	2
25	intropass	2
25	wezzzi	2
25	Groundler	2
25	WyngGoy	2
25	UCP_TheKingK	2
25	RealGroot	2
25	Njensen7	2
25	jnp_gaming	2
25	Smoke____	2
38	Jovaphobic	1
38	PhantomsGhost_	1
38	Incinere	1
38	beeperbeeper5	1
38	rarrq	1
38	TheSecondLord	1
38	Sebastiannlol	1
38	kekhon	1
38	Secret_Canary	1
38	SteveCraftBlocks	1
38	_Dean_123	1
38	500am	1
38	Smashic	1
38	NotKaden_	1
38	Di_infiri	1
38	Chromary	1
38	ApophisNova	1
38	Werbe	1
38	k1ngGilgamesh	1
38	LeGold	1
38	AlexxO_o	1
38	zToasty69z	1
38	IamCL4SSY	1
38	Lord_Jord	1
38	NomadicRobin_	1
38	Inbefour	1
38	Deathkob	1
38	Fuad_R	1
38	claivin	1
38	Quaintster	1
38	Cyntrical	1
38	fluddd	1
38	OffWithTheirHead	1
38	sp00ky_ghost977	1
38	BlueWyvern16	1
38	Eraxa	1
38	sadvavilloso	1
38	MyNamaSheff	1
38	Legendosh	1
38	PlasticOtari	1
38	00000000-0000-0000-0009-01faf4afe1be	1
