rank	username	minecraft:dropped/minecraft:elytra
1	Hyp3rion_	164
2	noam464	67
3	Segotep999	46
4	xzvu	45
5	Racengan	41
6	rarrq	39
7	kekhon	38
7	lordpipe	38
7	Kowcio_	38
10	Akoot_	37
11	Werbe	33
11	EcksD	33
13	TheSecondLord	31
14	500am	30
15	eitanzaki	29
15	Blu3beast	29
17	Huwulling	28
18	AdmiralSmoke	26
19	UCP_TheKingK	24
20	Groundler	22
21	Di_infiri	21
21	Jimb0nat0r	21
23	PazinGaming	19
23	Manaateee	19
23	TechnoNinja64	19
26	Rebytre	18
27	ImpavidArcher	17
27	hanaryheatwave	17
27	Tyrannosplart	17
27	jnp_gaming	17
31	pintsizedrogue	16
31	jessewegottacook	16
31	FishyBoy3811	16
31	Blaiku	16
35	Blackberry1310	15
35	luseis	15
35	YungMaki	15
35	ProbsNotNova	15
39	Frozil20	14
40	T045RTY	13
40	PigDab	13
40	Spenduh	13
40	SammiWolfGirl	13
44	Smashic	12
44	mwrty	12
44	AlexxO_o	12
44	Ezekson	12
48	joethahobo	11
48	oscminus	11
48	claivin	11
48	fluddd	11
48	_i_ERROR_i_	11
48	AltnumberF4	11
54	Mahoose	10
54	Lez_	10
54	NomadicRobin_	10
57	H0UNDFRMH3LL	9
57	_Dean_123	9
57	thescout7	9
57	Deodorante	9
57	GoofyBread	9
57	FreakGenius	9
57	sheherhers	9
57	xolstoi	9
65	SaucyDark	8
65	beeperbeeper5	8
65	Fullut	8
65	xxPipperDipperxx	8
65	CollinMH06	8
65	Jackattack53	8
65	The_Cruncy	8
65	Dakar_	8
65	Kubeusz2010	8
65	laron58	8
65	Skippeh	8
65	CattSoup	8
65	Zoeyfortnite	8
78	Comma__	7
78	_lildarki3	7
78	Skylord_Luke	7
78	lillips	7
78	NameGenerat0r	7
78	Soplight	7
78	PortlyPete69	7
78	MilleGrug	7
78	ConnorDanky_	7
87	maxdacatv2	6
87	seanitoo	6
87	_Huge_Male_	6
87	PhantomsGhost_	6
87	Wooptey	6
87	Alteriity	6
87	Upstro10	6
87	Inchef	6
87	HellsSponge	6
87	Quaintster	6
87	TheEnderMan548	6
98	Iagoku	5
98	jushykins	5
98	MattieHD	5
98	WET_WET_WET	5
98	HyperCave	5
98	weabis	5
98	Cyntrical	5
98	Spacewardharpy7	5
98	LeEricc	5
98	Dogcorn69420	5
98	jcool7	5
98	cichy096	5
110	Groovy_MoonBird	4
110	_Virify_	4
110	Ryan_GEMS	4
110	Natty	4
110	speenduhXD	4
110	NieToksikpl	4
110	Mewar	4
110	Xalithia	4
110	ROY4LE	4
110	SellyZ	4
110	gcaisawesome	4
110	Mobstr	4
110	yheece	4
110	LAVA129	4
110	zToasty69z	4
110	FreddyFart	4
110	masskedman	4
110	Shogunite	4
110	SkateboardR6	4
110	MakeHistory157	4
110	33sudo	4
110	Eraxa	4
110	Kyrum2169	4
110	Sheldor097	4
110	Enderxz3	4
110	PlasticOtari	4
110	Sral7	4
110	skrongus	4
110	Teebone15	4
139	Mr_Byzantine	3
139	peachfuzz1267	3
139	CLG_Kata	3
139	MixerDixer	3
139	EMC_	3
139	I_Am_Mushkin	3
139	KarlKaek	3
139	TheMilkerOfCats	3
139	itburb	3
139	TooManyDuck	3
139	Incinere	3
139	Blobcat29	3
139	titanlax	3
139	SnowyAvi	3
139	catandmoose	3
139	excelsionprime	3
139	Z3braYTIL	3
139	set67	3
139	fade_emerge78823	3
139	mimbo1211	3
139	Zaridey	3
139	Kakolbus	3
139	Ecplosive	3
139	Winklepicker279	3
139	Marbz_	3
139	okCrypto	3
139	Chromary	3
139	Zythose	3
139	King_Pancake1	3
139	DAD_1996	3
139	F_Uhre	3
139	iElijah	3
139	Jonte0599	3
139	sammidk	3
139	Rasmanden	3
139	groofles	3
139	Klerick	3
139	Lord_Jord	3
139	audiocracked	3
139	Inbefour	3
139	EveryonesUncle	3
139	YungWali	3
139	DarlaMeow	3
139	_Karmaa	3
139	El_Jalapeno	3
139	Bloo2406	3
139	Warlord324	3
139	monky_irl	3
139	djancak	3
139	__tomato	3
139	_Yonk_	3
139	LeeMcGee30	3
139	Eczbek	3
139	Aryamanee	3
139	Empresario	3
139	FishisTTV	3
195	Krasnal1337	2
195	MuffinManzz	2
195	ProbablyNick	2
195	Apollo_993	2
195	BPTY4618	2
195	LovelyDane	2
195	diamondgolem35	2
195	AverageGorg	2
195	gren_ben	2
195	nattybears	2
195	MoistMicrowave	2
195	ShedJr_	2
195	MOSS000	2
195	MrKrabOnCoke	2
195	Da_Boss_Rani	2
195	bbrothers_5	2
195	DirtyDalle	2
195	Prodiginus	2
195	CaracolCxnt	2
195	InfernalMound	2
195	Auseawesome	2
195	Presisor	2
195	_Nat666	2
195	MinttyFressh	2
195	StanceTB	2
195	jjsadler	2
195	BruhM0mnt	2
195	IKeepDying	2
195	Kkanot	2
195	Motsaro	2
195	Trixididntdie	2
195	himak1	2
195	Pineapplesugr	2
195	emrekn	2
195	imcombxt	2
195	NotKaden_	2
195	drunkeeez	2
195	fallingemma	2
195	Arsinic7	2
195	fr_ser	2
195	valiSW	2
195	Arceus1975	2
195	thewindmillman	2
195	DaviusMaximoose	2
195	_Buffo	2
195	ApophisNova	2
195	gloryoftherain	2
195	LeGold	2
195	Fergusoncurly	2
195	TheShyPig	2
195	HeraclesOGU	2
195	ClemenPine	2
195	lizardfightclub	2
195	SaintJosie	2
195	Maenara	2
195	AuroraSkies	2
195	xDraggin	2
195	Wowful	2
195	LeonelSalamanca	2
195	Cordicus	2
195	PineappleZ215	2
195	_Hayt	2
195	NYJ	2
195	_Bguette_	2
195	Fuad_R	2
195	DanTheBuilderino	2
195	MustaLoordi	2
195	GravitySaint	2
195	Paigefly	2
195	mihimihimihi	2
195	MovingFish7	2
195	Druid95	2
195	geekbird	2
195	_Mythic____	2
195	SvenskaHugo	2
195	pablopickle	2
195	brofrickcheaters	2
195	_TCARREIRA_	2
195	obzii	2
195	CalebDHawk	2
195	fffMike	2
195	Hermanni__	2
195	VentiHilton	2
195	RealBuddy	2
195	amkold	2
195	MyNamaSheff	2
195	Powowowow	2
195	vandmanden	2
195	00000000-0000-0000-0009-01fd30af3efb	2
284	SaltineDream	1
284	jojo1515151	1
284	HiveSkins	1
284	Bandito_Roamer	1
284	Deu_Stew	1
284	fanofbands101	1
284	CueMix	1
284	Ev0luti0nz	1
284	dimondking777	1
284	Vaarde	1
284	TrNrGhost	1
284	teslawolf38	1
284	Foof13	1
284	q_wq	1
284	ImNotYuqii	1
284	Wolf_Mauler_73	1
284	Jindong	1
