rank	username	minecraft:dropped/minecraft:furnace_minecart
1	noam464	3
2	Merv__	2
2	eitanzaki	2
2	Mahoose	2
2	2Stout	2
2	Soplight	2
2	Quotary	2
2	Yamdalorian	2
9	ECstardust	1
9	SteveCraftBlocks	1
9	Krowuss	1
9	blackeemperor	1
9	mihimihimihi	1
9	SvenskaHugo	1
9	Pumpkin_P_Patch	1
9	EcksD	1
9	Legendosh	1
