rank	username	minecraft:dropped/minecraft:guster_pottery_sherd
1	TheKingK_	4
2	k_ce	3
2	thewindmillman	3
4	Secret_Canary	2
5	MAns_44	1
5	pixelviolin	1
5	Steelynan	1
