rank	username	minecraft:dropped/minecraft:cut_sandstone
1	stahouo	973
2	kekhon	665
3	SteveCraftBlocks	324
4	Soplight	285
5	TechnoNinja64	275
6	Franco093	220
7	Frozil12	199
8	SuperPooch06	190
9	SteveWithClout	166
10	lillips	162
11	_naturell	140
12	Freak_Genius	136
13	thewindmillman	130
14	_Dean_123	128
15	YungMaki	115
16	pintsizedrogue	114
17	Merv__	93
18	Bumpy419	87
19	NameGenerat0r	84
20	El_Jalapeno	82
21	beeperbeeper5	74
22	eitanzaki	72
23	Rumpletaezer	71
24	Di_infiri	70
25	gcaisawesome	68
26	Euclidoris	65
27	Jiminie	64
28	500am	62
29	Steelynan	60
30	Fullut	58
31	Blackberry1310	55
31	lordpipe	55
33	Cocoamallows	53
34	CoffeeNoir	52
34	Arceus1975	52
36	ImpavidArcher	49
37	Akoot_	47
38	_Karmaa	46
39	EveryonesUncle	44
39	LeeMcGee30	44
41	Hyp3rion_	41
42	Menthas	40
42	jewbacaman	40
44	RebelAndroid	38
45	the__Reaper4999	37
46	_TCARREIRA_	36
47	AuroraValkyrie	34
48	Dreamdbr14	32
49	Blu3beast	30
49	WyngGoy	30
49	EcksD	30
52	DarlaMeow	29
53	claivin	28
54	lizardfightclub	26
55	DennyKai	25
56	RodSerlingCringe	24
56	toos1esl1de	24
58	gabriels543	23
58	CarryLine	23
60	Sheldor097	22
60	vandmanden	22
62	TheShyPig	21
63	Mewar	20
63	noam464	20
63	Optiprimus	20
63	UltraZombie	20
63	Weepingbiel	20
68	nocturne78	19
68	mwrty	19
68	Sral7	19
71	Awyrlas	18
71	Miko_Fullbuster	18
71	Legendosh	18
74	KingFaenor	17
74	MinttyFressh	17
74	chipklip	17
74	TheOuterCore	17
74	Smoke____	17
79	CueMix	16
79	KarlKaek	16
79	_Nuf	16
79	HellsSponge	16
83	rarrq	15
83	Valoth	15
83	WarMachina	15
83	fkGrim	15
83	Calbo_	15
88	xXTheWolfmanXx	13
88	SDMNAEK	13
88	TheDankPlatypus	13
88	Blaiku	13
88	FGamerJ	13
93	Hpdinosaur	12
93	m_be9	12
93	fluddd	12
93	Spacewardharpy7	12
93	lcvezra	12
98	CrookedKaptain	11
98	Quaintster	11
98	Kyrum2169	11
101	SaucyDark	10
101	TheSecondLord	10
101	CollinMH06	10
101	EfficientC52	10
101	SammiWolfGirl	10
101	diggydog67	10
107	Groovy_MoonBird	9
107	abramgray	9
109	Comma__	8
109	Kouridragon	8
109	DTwenty	8
109	sufjanlover	8
109	Ezekson	8
109	Quotary	8
115	AJplaysMC_	7
115	Donutt	7
115	SpouHn	7
115	Xclax101	7
115	Segotep999	7
120	Rorrofighter	6
120	Kakolbus	6
120	Powowowow	6
123	PhantomsGhost_	5
123	Rich_Kat	5
123	ProfessorBee	5
123	Sky_light_KING	5
123	Fuad_R	5
123	IdeallyGrey	5
123	jcool7	5
123	smogfrog	5
131	Jovaphobic	4
131	joethahobo	4
131	MattieHD	4
131	SeverianTheLame	4
131	Chromary	4
131	burbankbuilder28	4
131	Skylord_Luke	4
131	ApophisNova	4
131	mafiKiwi	4
131	ediballbearings	4
131	stellarjay	4
131	Vellu21	4
131	cichy096	4
131	MyNamaSheff	4
131	AltnumberF4	4
146	Bandito_Roamer	3
146	6king6colt6	3
146	I_Am_Mushkin	3
146	tuckerdoodle	3
146	Mahoose	3
146	ratglock	3
146	Tmb1	3
146	Zaridey	3
146	ImDisconnected_	3
146	lOlmantschi	3
146	thgrocks	3
146	Nicserso	3
146	little_dUki	3
159	SugarMyNuggets	2
159	teslawolf38	2
159	livingdaydreams	2
159	Myszoaz	2
159	MSK__	2
159	Cryptacity	2
159	ThePoliteG	2
159	thebest_daniela	2
159	NotKaden_	2
159	John6970	2
159	Purplehere	2
159	Karetoko	2
159	Doom_melon	2
159	andy_rex	2
159	CranialBlowout	2
159	pappaberg	2
159	The11thDoctor	2
159	fred870d	2
159	Lord_Jord	2
159	AlphaWolfPlaysMC	2
159	Wowful	2
159	natajimi	2
159	NomadicRobin_	2
159	MyNameIsDakar	2
159	Deerfoot	2
159	halfbakedlasagna	2
159	MovingFish7	2
159	IAmTheWalrus910	2
159	lilguppy	2
159	Kowcio_	2
159	SpaceTurtleOX	2
159	HesDemonPants	2
191	_NieToksikpl_	1
191	zqw10k	1
191	Hyugo	1
191	Chroikey	1
191	Ssor69	1
191	aikabot	1
191	titanlax	1
191	12Magner05	1
191	CyrusIsTired	1
191	slkiey	1
191	potato292	1
191	GLLogan2	1
191	set67	1
191	Scathra	1
191	UnderKat	1
191	eviltunix	1
191	ROY4LE	1
191	mariominejedi	1
191	Werbe	1
191	NNikitas	1
191	Onennon	1
191	PigDab	1
191	MousePlays	1
191	Serenqeti	1
191	KnightmareD	1
191	TheSeismicDuck	1
191	FreddyFart	1
191	Deathkob	1
191	_Bguette_	1
191	DeGodz4life	1
191	Dusk_95	1
191	Eraxa	1
191	TheEnderman548	1
191	ProbsNotNova	1
191	Logain42	1
191	alderban107	1
191	erkada	1
191	Skippeh	1
191	oxfordschool	1
191	Enderslayerxz3	1
191	Oxygen16	1
191	trexgb	1
