rank	username	minecraft:dropped/minecraft:mud
1	thewindmillman	10407
2	Jackattack53	942
3	pintsizedrogue	513
4	_i_ERROR_i_	314
5	fragrantmonke444	192
5	TheWickedBird	192
7	Nicserso	169
8	Enderxz3	155
9	Mr_Byzantine	132
10	12Magner05	88
11	EMC_	86
12	hanaryheatwave	72
13	j5ylim	65
14	Krowuss	64
14	Soplight	64
14	Steelynan	64
17	FiguraDei	26
18	k_ce	25
19	GooseWithin	17
20	Kowcio_	12
21	SvenskaHugo	11
22	Pumpkin_P_Patch	9
23	Jimb0nat0r	8
24	DinoDoctor_	6
24	crashomon	6
26	YungMaki	5
27	bl1ss0	4
27	Mattesco	4
27	That_tech_head	4
30	MattieHD	2
30	Roenfire	2
30	Hyp3rion_	2
30	AlexxO_o	2
34	Apollo_993	1
34	rarrq	1
34	Secret_Canary	1
34	500am	1
34	MAns_44	1
34	Spacewardharpy7	1
