rank	username	minecraft:dropped/minecraft:nether_quartz_ore
1	Frozil12	24219
2	EcksD	1915
3	Blaiku	1301
4	NomadicRobin_	689
5	Di_infiri	391
6	noam464	388
7	MakeHistory157	369
8	TechnoNinja64	365
9	lillips	363
10	fred870d	321
11	thewindmillman	311
12	Blu3beast	280
13	Akoot_	277
14	seramalen	232
15	CruncyIsTaken	192
16	oxfordschool	189
17	beeperbeeper5	170
18	Enderslayerxz3	163
19	Zythose	159
20	r123moore	127
21	Winklepicker279	126
22	_Virify_	118
23	eitanzaki	101
23	kekhon	101
25	_Yonk_	100
26	Hyp3rion_	91
27	Miko_Fullbuster	85
28	set67	79
29	fluddd	78
30	PigDab	75
31	Skippeh	74
32	gcaisawesome	69
33	TheSecondLord	64
34	Fullut	58
35	SteveCraftBlocks	52
36	The_slideV3	48
37	thescout7	43
37	Kowcio_	43
39	Soplight	41
39	kinas45y5	41
41	Spacewardharpy7	40
41	YungMaki	40
43	Racengan	38
44	Kakolbus	37
45	pintsizedrogue	36
45	lordpipe	36
45	Nagasaki_Riku	36
48	whoaluv	35
49	hm947	34
49	12Magner05	34
51	Kubeusz2010	33
52	gaziter10	32
52	AltnumberF4	32
54	T045RTY	31
55	HellsSponge	30
56	Megarboh	25
56	Chromary	25
58	Ssor69	24
58	Skylord_Luke	24
60	Erased_Identity	23
61	Werbe	21
61	AssEatrAndLicker	21
63	mwrty	20
63	Bumpy419	20
65	MangoTheFish	19
66	Flores991	18
66	Historical_Sand	18
66	jiggywraps	18
66	jnp_gaming	18
70	Drlzyy	17
70	RebelAndroid	17
70	lizardfightclub	17
70	Dusk_95	17
74	Jackattack53	16
75	4383	15
75	jushykins	15
75	DarlaMeow	15
78	Mahoose	14
78	Ze_BaronKrigler	14
80	CoffeeNoir	13
80	500am	13
82	I_Am_Mushkin	12
82	_Karmaa	12
84	PhantomsGhost_	11
84	Cowison	11
84	EveryonesUncle	11
84	SammiWolfGirl	11
84	MilleGrug	11
84	Smoke____	11
90	peachfuzz1267	10
90	Merv__	10
90	audiocracked	10
90	h2p_emrld	10
94	rarrq	9
94	ayamefag	9
96	KnightmareD	8
97	yulgur1	7
97	Hisiste	7
97	Eraxa	7
97	obzii	7
97	alderban107	7
102	Lord_Jord	6
102	WyngGoy	6
102	Optiprimus	6
102	PortlyPete69	6
102	Ezekson	6
102	2blox	6
102	Zoeyfortnite	6
109	WET_WET_WET	5
109	pappaberg	5
109	CalebDHawk	5
109	jcool7	5
109	little_dUki	5
114	JEWISHBadenBeele	4
114	ColeSnyder	4
114	Franco093	4
114	Swexti	4
114	AngalexikCZ	4
114	Arceus1975	4
114	Shiirazuku	4
114	aa2x_	4
114	DanTheBuilderino	4
114	MAns_44	4
114	SSytex_X	4
114	trexgb	4
126	emrekn	3
126	RyuNeko932000	3
126	Gab4101	3
126	MovingFish7	3
126	UltraZombie	3
126	Hermanni__	3
126	Legendosh	3
126	vandmanden	3
134	_NieToksikpl_	2
134	abramgray	2
134	DarkS0L	2
134	NameGenerat0r	2
134	Shogunite	2
134	Freak_Genius	2
134	SkateboardR6	2
134	TheEnderman548	2
134	tartanboy	2
143	EMC_	1
143	ShedJr_	1
143	FirsTimeGamingTV	1
143	m_be9	1
143	MinttyFressh	1
143	Frach23	1
143	Rumpletaezer	1
143	CrateOfBoxes	1
143	Kouridragon	1
143	ogoa	1
143	LexMakesHistory	1
143	The_Quack_Dealer	1
143	EfficientC52	1
143	MightyWertu	1
143	the__Reaper4999	1
143	ItzWqlfy	1
143	Groundler	1
143	djancak	1
143	sebastiensaborio	1
143	WYFYoyo	1
143	Wanjibon	1
