rank	username	minecraft:dropped/minecraft:cyan_banner
1	Werbe	73
2	Spacewardharpy7	21
3	luseis	7
3	EcksD	7
5	beeperbeeper5	6
6	Bandito_Roamer	3
6	Onennon	3
8	KarlKaek	2
8	joethahobo	2
8	Historical_Sand	2
11	pintsizedrogue	1
11	Merv__	1
11	Blackberry1310	1
11	kekhon	1
11	iSammael	1
11	Eraxa	1
