rank	username	minecraft:dropped/minecraft:sticky_piston
1	Hyp3rion_	14487
2	noam464	7995
3	eitanzaki	2136
4	thewindmillman	1212
5	EcksD	999
6	Di_infiri	505
7	_Mythic____	327
8	Blaiku	243
9	lillips	230
10	FreddyFart	207
11	m_be9	192
12	mihimihimihi	187
13	Spacewardharpy7	148
14	thescout7	140
15	Jackattack53	139
16	PigDab	115
17	Werbe	84
18	EMC_	66
19	HellsSponge	65
20	LeGold	64
20	LeonelSalamanca	64
22	XboxPanda	62
23	Mr_Worthless	57
23	TildaAndrea	57
25	victorLIE	56
26	Da_Boss_Rani	54
27	Fullut	51
28	HesDemonPants	50
29	Fuad_R	48
30	Mattesco	46
31	GooseWithin	43
31	Racengan	43
33	Incinere	37
34	kekhon	35
35	_Dean_123	32
35	Blu3beast	32
37	FreakGenius	30
38	TechnoNinja64	29
39	CattSoup	26
40	bloodbiter	25
40	SkateboardR6	25
42	Xclax101	24
43	Wowful	23
44	Lez_	20
44	SteveCraftBlocks	20
46	Wotters7	16
47	Groundler	14
47	layabout100	14
47	jcool7	14
50	Arceus1975	13
51	pintsizedrogue	12
51	__tomato	12
51	JayToe	12
54	Blackberry1310	11
54	AdmiralSmoke	11
56	ColeSnyder	10
57	beeperbeeper5	9
58	Motsaro	8
58	arcanemagic	8
58	SvenskaHugo	8
61	Mahoose	7
61	xxPipperDipperxx	7
63	Alteriity	6
63	LoboTheLobster	6
63	hanaryheatwave	6
63	PortlyPete69	6
63	Enderxz3	6
68	IamCL4SSY	5
68	GravitySaint	5
68	Warlord324	5
71	Mr_Byzantine	4
71	PhantomsGhost_	4
71	Frozil20	4
71	Sabby65	4
71	rarrq	4
71	shadowthemonkey	4
71	AlexxO_o	4
71	YungMaki	4
71	Segotep999	4
71	ediballbearings	4
81	ECstardust	3
81	I_Am_Mushkin	3
81	ImpavidArcher	3
81	joethahobo	3
81	Solar_Power	3
81	ooga47	3
81	DarlaMeow	3
81	Eraxa	3
81	jnp_gaming	3
81	MirielThePastor	3
81	xolstoi	3
92	seanitoo	2
92	CLG_Kata	2
92	q_wq	2
92	DepressedCubic	2
92	KarlKaek	2
92	SaucyDark	2
92	T045RTY	2
92	TheSecondLord	2
92	jacxhadow	2
92	Masssonnn	2
92	Snowflowe	2
92	BumbleBeever	2
92	MovingFish7	2
92	Soplight	2
92	LeEricc	2
92	stellarjay	2
92	ConnorDanky_	2
92	FelixPSY375	2
92	skrongus	2
111	Groovy_MoonBird	1
111	chipklip	1
111	Ailmast	1
111	LovelyDane	1
111	diamondgolem35	1
111	bigstankyy	1
111	Huwulling	1
111	Digcove	1
111	tablebryce	1
111	ProfessorBee	1
111	Inchef	1
111	Cellcorgi649	1
111	Touched_Bread	1
111	eiC_	1
111	BlueZabu	1
111	Marbz_	1
111	legal_tax_evader	1
111	Chromary	1
111	Rumpletaezer	1
111	WET_WET_WET	1
111	Eczbox	1
111	Azmodan_246	1
111	oscminus	1
111	Skylord_Luke	1
111	TheWildMateo	1
111	RobotMinion101	1
111	Onennon	1
111	F_Uhre	1
111	Maenara	1
111	Akoot_	1
111	Agent108	1
111	EveryonesUncle	1
111	CuzIm2Kev	1
111	Manaateee	1
111	claivin	1
111	fluddd	1
111	__Auspicious	1
111	Fildyr	1
111	lordpipe	1
111	Strangemonkey71	1
111	SSytex_X	1
111	Spenduh	1
111	xzvu	1
111	SpacesickPrism	1
111	obzii	1
111	fffMike	1
111	Kferno	1
111	MilleGrug	1
111	Eczbek	1
