rank	username	minecraft:dropped/minecraft:polished_deepslate_slab
1	mihimihimihi	3028
2	Hyp3rion_	410
3	Fuad_R	294
4	skitzxo	218
5	noam464	104
6	pretty_pink_reno	86
7	Sleepy_Evelyn	85
8	2extreeme	78
9	Spenduh	75
10	12Magner05	66
11	TheWickedBird	65
12	TheSecondLord	64
12	Jackattack53	64
14	YungMaki	63
15	Spacewardharpy7	60
16	RoskobiOne	24
17	Mattesco	22
18	Da_Boss_Rani	20
19	TheWildMateo	17
20	Sleepy_Time_	14
20	Skylord_Luke	14
22	PazinGaming	13
23	weabis	12
24	shadowthemonkey	11
25	Nicserso	10
26	hm947	9
27	fffMike	7
28	Touched_Bread	5
28	JETrotter	5
28	luseis	5
31	Buuck_	3
31	Jimb0nat0r	3
33	TooPure2	2
33	ImpavidArcher	2
33	thewindmillman	2
33	Pumpkin_P_Patch	2
37	Groovy_MoonBird	1
37	EMC_	1
37	Lez_	1
37	Manaateee	1
37	TheKingK_	1
37	PlasticOtari	1
