rank	username	minecraft:dropped/minecraft:moss_block
1	noam464	28325
2	thewindmillman	20620
3	Miko_Fullbuster	3940
4	EcksD	3616
5	12Magner05	2991
6	Hyp3rion_	1612
7	EMC_	820
8	Smoke____	765
9	beeperbeeper5	658
10	500am	596
11	Jackattack53	474
12	Kakolbus	384
13	Mahoose	205
14	ImpavidArcher	203
15	tuckerdoodle	202
16	PlasticOtari	195
17	diamondgolem35	129
18	RoskobiOne	128
19	MAns_44	103
20	SvenskaHugo	94
21	AlexxO_o	75
22	CoffeeNoir	72
23	pintsizedrogue	67
24	Rebytre	49
25	Drlzyy	40
26	Segotep999	33
27	fade_emerge78823	32
27	Inchef	32
29	Steelynan	29
30	sammidk	26
31	MilleGrug	18
31	Aryamanee	18
33	Flores991	15
34	lordpipe	14
35	Valoth	13
36	joethahobo	12
36	dartwaffle	12
38	SteveCraftBlocks	11
39	SuperPooch06	10
39	ToastedGamingYT	10
39	coobert42	10
42	mobunni	9
43	XboxPanda	8
43	TJawesome09	8
43	00000000-0000-0000-0009-01f898304150	8
46	hm947	5
46	Human_Resource	5
48	WYFYoyo	4
49	MSK__	3
49	im_very_saad	3
49	JosephCW	3
49	MineMaster0012	3
49	Sheldor097	3
54	_Dean_123	2
54	Masssonnn	2
54	benediktine1	2
54	Spacewardharpy7	2
54	Kowcio_	2
54	EtherealEspresso	2
54	Spenduh	2
54	Hermanni__	2
62	ShedJr_	1
62	CedeMC	1
62	SquadMonster	1
62	TheSecondLord	1
62	TheDankPlatypus	1
62	Skylord_Luke	1
62	EveryonesUncle	1
62	Jiminie	1
62	Fuad_R	1
62	Frozil12	1
62	Yahir091	1
62	UCP_TheKingK	1
62	Soplight	1
62	tsitrawhy	1
62	Hylo482y	1
62	Ezekson	1
