rank	username	minecraft:dropped/minecraft:andesite_slab
1	EveryonesUncle	593
2	Yamdalorian	322
3	skitzxo	199
4	FreakGenius	146
5	set67	140
6	EcksD	125
7	TheSecondLord	116
8	Shiirazu	114
9	PazinGaming	80
10	I_Am_Mushkin	74
11	eitanzaki	73
12	Ssor69	64
13	Uzbeki_John	58
14	Smashic	48
15	Frozil20	42
16	Mahoose	33
16	Manaateee	33
18	Groovy_MoonBird	30
18	Legendosh	30
20	FishyBoy3811	28
21	pintsizedrogue	22
22	SpacesickPrism	20
23	mihimihimihi	18
24	Kakolbus	16
25	blackeemperor	14
25	trexgb	14
27	kekhon	12
27	Enderxz3	12
29	luseis	11
30	Shin69	10
31	kyouma777	8
32	Merv__	6
32	EMC_	6
32	beeperbeeper5	6
32	Comma__	6
32	Kowcio_	6
32	Nargotah	6
32	tartanboy	6
39	Jindong	5
39	Malorn_Aetherius	5
39	500am	5
39	Fullut	5
39	Inchef	5
39	taengoos	5
45	SteveCraftBlocks	4
45	Eraxa	4
45	Sheldor097	4
48	Natty	3
48	heckface	3
48	Mattesco	3
48	cog	3
48	07shiny	3
48	TheKingK_	3
48	PortlyPete69	3
48	CalebDHawk	3
48	MineCryptian	3
48	Zoeyfortnite	3
58	_Huge_Male_	2
58	Alteriity	2
58	SquadMonster	2
58	NieToksikpl	2
58	shadowthemonkey	2
58	Soap_Bender	2
58	PlasticOtari	2
65	shineh10	1
65	powercas_gamer	1
65	Lez_	1
65	Historical_Sand	1
65	Rumpletaezer	1
65	Hyp3rion_	1
65	Charmyboi	1
65	DreadVegas2k	1
65	Onennon	1
65	Mr_Sun15	1
65	Akoot_	1
65	ogoa	1
65	fkGrim	1
65	HellsSponge	1
65	Conrad139	1
