rank	username	minecraft:dropped/minecraft:pink_concrete
1	Jackattack53	3456
2	lordpipe	434
3	PigDab	119
4	EcksD	88
5	Tobinator_007	25
5	eitanzaki	25
7	beeperbeeper5	21
8	Ahketen	17
9	Ezekson	15
10	thewindmillman	11
11	Lez_	10
12	ConnorDanky_	5
13	joethahobo	4
13	StarCookiees_	4
15	Manaateee	3
16	12Magner05	2
16	Wowful	2
16	Spacewardharpy7	2
16	remmisrat	2
20	noam464	1
20	Hyp3rion_	1
20	EveryonesUncle	1
20	MakeHistory157	1
