rank	username	minecraft:dropped/minecraft:warped_planks
1	thewindmillman	1417523
2	Hyp3rion_	434629
3	EcksD	264507
4	noam464	222824
5	Jackattack53	7386
6	gcaisawesome	1857
7	Spacewardharpy7	1679
8	eitanzaki	1670
9	Syropatathe	1472
10	Blaiku	1211
11	PigDab	653
12	beeperbeeper5	292
13	kekhon	212
14	12Magner05	204
15	lunathelemon	193
16	Enderxz3	153
17	Jimb0nat0r	118
18	Akoot_	116
19	HolyVenom	106
20	shadowthemonkey	101
21	EMC_	87
22	_Razaria	74
23	mihimihimihi	70
24	00000000-0000-0000-0009-01ff0c3e5e4f	65
25	lillips	64
25	Lutres_	64
25	VentiHilton	64
28	cichy096	42
29	Fullut	38
30	JohnnyFyes	34
31	rarrq	32
32	0Vyp_	30
33	_Huge_Male_	27
34	gren_ben	21
34	Ezekson	21
36	_i_ERROR_i_	20
37	WET_WET_WET	18
37	luseis	18
39	Lez_	15
40	Frozil20	9
40	Fuad_R	9
42	paranoid_plant	8
42	Awyrlas	8
42	FishyBoy3811	8
42	Segotep999	8
46	TheDankPlatypus	5
46	StarCookiees_	5
48	I_Am_Mushkin	4
48	Masssonnn	4
48	r123moore	4
48	SlothInASuit	4
48	Werbe	4
48	Lord_Jord	4
48	NATE_the_HALO	4
48	CalebDHawk	4
48	ConnorDanky_	4
48	Nicserso	4
48	AdmiralSmoke	4
59	PazinGaming	3
59	Manaateee	3
61	hm947	2
61	TheSecondLord	2
61	SuperPooch06	2
61	NomadicRobin_	2
61	jacobsoy	2
61	TheImperial	2
61	iSammael	2
61	djancak	2
69	Mahoose	1
69	Historical_Sand	1
69	Xalithia	1
69	Zythose	1
69	Mattesco	1
69	Lunkuku	1
69	TheEnderMan548	1
69	PlasticOtari	1
