rank	username	minecraft:dropped/minecraft:creeper_head
1	500am	22
2	Hyp3rion_	9
3	Tyrannosplart	6
4	Di_infiri	5
4	ConnorDanky_	5
6	beeperbeeper5	4
6	kekhon	4
6	Blu3beast	4
9	eitanzaki	3
9	Historical_Sand	3
11	Cheesereborn	2
11	Arceus1975	2
11	U_Mos_	2
11	oscminus	2
11	claivin	2
11	Blaiku	2
11	Spacewardharpy7	2
11	Kowcio_	2
19	pintsizedrogue	1
19	T045RTY	1
19	TheSecondLord	1
19	MattieHD	1
19	lorpus	1
19	Kakolbus	1
19	Akoot_	1
19	fluddd	1
19	YungMaki	1
19	SammiWolfGirl	1
19	Njensen7	1
19	Skippeh	1
19	TechnoNinja64	1
19	annebolyn	1
19	Yamdalorian	1
