rank	username	minecraft:dropped/minecraft:prismarine_crystals
1	Ezekson	682584
2	Blaiku	112751
3	EcksD	98445
4	noam464	65515
5	HellsSponge	60944
6	Smoke____	28503
7	Frozil12	20710
8	12Magner05	10638
9	Hyp3rion_	8202
10	gcaisawesome	5023
11	thewindmillman	3422
12	beeperbeeper5	3281
13	Spacewardharpy7	3072
14	Paintz	2565
15	eitanzaki	2467
16	Jackattack53	2218
17	ImpavidArcher	1986
18	_Virify_	1956
19	Hisiste	1920
20	Mahoose	1555
21	Groundler	770
22	PigDab	609
23	jcool7	336
24	Snowflowe	232
25	Zythose	225
26	lordpipe	194
27	Dedalus36	189
28	SuperPooch06	184
29	EveryonesUncle	170
30	Bumpy419	135
31	YungMaki	134
32	ItsColin11	131
33	Dusk_95	129
34	Racengan	121
35	SkateboardR6	101
36	Marbz_	98
37	XboxPanda	89
38	Blu3beast	84
39	Groovy_MoonBird	83
40	h2p_emrld	82
41	EcksDofficial	80
42	KarlKaek	77
43	NotTrixi	74
43	chipklip	74
45	Freak_Genius	70
45	Xclax101	70
47	M_Patata	67
47	MasterNueve	67
49	Di_infiri	66
50	Nicserso	65
51	m_be9	64
51	TheTrueClipse	64
51	Legendosh	64
54	Inchef	59
55	Dreamdbr14	58
56	I_Am_Mushkin	56
56	YungWali	56
58	_Dean_123	55
59	MilleGrug	50
60	NomadicRobin_	49
61	lillips	46
62	MovingFish7	44
63	elicobnoah	42
63	Vorlice	42
63	AltnumberF4	42
66	platinumzero	41
67	rarrq	40
68	JoCoLi	38
68	ProbsNotNova	38
70	SpookyDraggin	37
71	Incinere	36
71	RebelAndroid	36
73	Skippeh	32
74	lizardfightclub	29
74	QueenShuvi	29
76	Blackberry1310	28
77	benediktine1	27
78	Enderslayerxz3	26
79	Eraxa	25
79	Kyrum2169	25
81	MightyWertu	23
82	seanitoo	22
82	Kakolbus	22
84	diamondgolem35	20
84	Xalithia	20
84	Inbefour	20
87	_Nuf	19
88	JohnnyFyes	18
88	Comma__	18
88	kekhon	18
88	Kouridragon	18
88	jnp_gaming	18
93	HyperCave	17
93	__tomato	17
93	Dogcorn69420	17
93	PlasticOtari	17
97	pr33tu	16
97	NotMeanttoChange	16
97	stahouo	16
100	UncreativeArtist	15
100	Flapjacker687	15
100	Werbe	15
100	brofrickcheaters	15
100	Powowowow	15
105	Rumpletaezer	14
105	Sral7	14
107	Iagoku	13
107	mwrty	13
107	UncleDanDan	13
107	Chromary	13
107	Jiminie	13
112	joethahobo	12
112	Fullut	12
112	thescout7	12
112	StormPool	12
116	TheSecondLord	11
116	Awyrlas	11
116	Arceus1975	11
116	Skylord_Luke	11
116	The_Quack_Dealer	11
121	Merv__	10
121	ApophisNova	10
121	fkGrim	10
121	LexMakesHistory	10
121	_Karmaa	10
121	ItzWqlfy	10
121	Vellu21	10
121	oxfordschool	10
121	MyNamaSheff	10
130	PhantomsGhost_	9
130	egglapras	9
130	Rebytre	9
130	pixelviolin	9
134	teslawolf38	8
134	jiggywraps	8
134	2Stout	8
134	r123moore	8
134	Airem_Core	8
134	_Dri_	8
140	T045RTY	7
140	CliffEmAll	7
142	WWWWMWWWWWWWWWWW	6
142	mimbo1211	6
142	seramalen	6
142	NameGenerat0r	6
142	claivin	6
142	33sudo	6
142	CalebDHawk	6
142	Njensen7	6
142	VentiHilton	6
151	InfernalMound	5
151	emrekn	5
151	King_Pancake1	5
151	fred870d	5
151	TheShyPig	5
151	Jamstroxian	5
151	MustaLoordi	5
151	Nycteus_	5
151	obzii	5
151	diggydog67	5
161	neurotic_a	4
161	Wooptey	4
161	LionelHutzESQ	4
161	ROY4LE	4
161	Gorilladam	4
161	lahavmor	4
161	Fast_Turtle	4
161	Afinnity	4
161	Sky_light_KING	4
161	Akoot_	4
161	KG1999	4
161	ImagineRamen	4
161	alderban107	4
161	Miko_Fullbuster	4
175	pintsizedrogue	3
175	Batoser	3
175	littlesophiagirl	3
175	fanofbands101	3
175	TheMilkerOfCats	3
175	Bad_At_Names_Guy	3
175	Franco093	3
175	Humpcat	3
175	WarHammer3	3
175	H72l9w	3
175	Kkanot	3
175	_JoeyT_	3
175	jambvds	3
175	Toriankel	3
175	monky_irl	3
175	ElectricDragon81	3
175	stavgod	3
175	carbo_bro	3
175	Spenduh	3
175	SammiWolfGirl	3
175	Nekomin0	3
175	UltraZombie	3
175	Kubeusz2010	3
175	Dr0xzy	3
175	TechnoNinja64	3
200	JEWISHBadenBeele	2
200	Swexti	2
200	Whiterooster001	2
200	bloodbiter	2
200	SwiftyPlayz__	2
200	Austine6698	2
200	BlueZabu	2
200	MyNameIsJobo	2
200	CruncyIsTaken	2
200	FishyBoy3811	2
200	ClemenPine	2
200	RodSerlingCringe	2
200	Maenara	2
200	Quaintster	2
200	fluddd	2
200	Keeogwi	2
200	Optiprimus	2
200	GlitchyPlate810	2
200	y0shik	2
200	LeeMcGee30	2
200	Hermanni__	2
200	Stefani_Ss	2
200	Plathou	2
200	x86assembly	2
224	Tommhh	1
224	lotarp	1
224	_Frepp_	1
224	FemboyFwuit	1
224	set67	1
224	surfinggiraffejp	1
224	CollinMH06	1
224	loveseeker	1
224	_Boipl_	1
224	Onennon	1
224	Meatlaugh	1
224	DarlaMeow	1
224	The_slideV3	1
224	OG_Songsee	1
224	layabout100	1
224	Juh1s	1
224	PortlyPete69	1
224	HesDemonPants	1
224	MeetTheWollo	1
224	vandmanden	1
224	Zoeyfortnite	1
