rank	username	minecraft:dropped/minecraft:brown_banner
1	500am	15
2	fkGrim	13
3	RebelAndroid	8
3	kekhon	8
5	12Magner05	7
5	fade_emerge78823	7
5	ConnorDanky_	7
8	Lez_	6
9	ougstur	4
10	Huwulling	3
11	DarkFisto	2
12	beeperbeeper5	1
12	_Dean_123	1
12	Zythose	1
12	Werbe	1
12	fw3xy74	1
12	luseis	1
12	HellsSponge	1
12	lcvezra	1
