rank	username	minecraft:dropped/minecraft:deepslate_copper_ore
1	thewindmillman	15
2	KujikawaRisechi	13
3	H0UNDFRMH3LL	12
4	Segotep999	11
5	Mattesco	9
6	AlexxO_o	7
7	shadowthemonkey	6
7	GooseWithin	6
9	beeperbeeper5	5
9	mihimihimihi	5
11	pintsizedrogue	4
11	ITDV	4
11	joethahobo	4
11	noam464	4
15	12Magner05	3
16	k_ce	2
16	SmashingPump	2
16	ECstardust	2
16	Mahoose	2
16	500am	2
16	Hyp3rion_	2
16	EveryonesUncle	2
23	EMC_	1
23	Jonafrog99	1
23	Rebytre	1
23	LeonelSalamanca	1
23	Fuad_R	1
23	lordpipe	1
23	ItsDeltaMC	1
23	Kowcio_	1
23	_i_ERROR_i_	1
