rank	username	minecraft:dropped/minecraft:large_amethyst_bud
1	SpacesickPrism	11
2	diamondgolem35	9
2	thewindmillman	9
4	Hyp3rion_	7
5	Smashic	5
6	noam464	2
7	Alteriity	1
7	Khelvoryk	1
7	500am	1
7	prizm_	1
7	Di_infiri	1
7	binman420	1
7	lordpipe	1
7	Kowcio_	1
