rank	username	minecraft:dropped/minecraft:brown_mushroom
1	noam464	1360
2	MightyWertu	829
3	Di_infiri	756
4	thewindmillman	589
5	_Nuf	430
6	Blaiku	417
7	eitanzaki	364
8	Smoke____	330
9	Kyrum2169	301
10	AuroraValkyrie	241
11	Hyp3rion_	214
12	HellsSponge	213
13	Lez_	192
14	PigDab	144
15	FreakGenius	132
16	lillips	131
17	jnp_gaming	109
18	lordpipe	104
18	Sral7	104
20	EcksD	101
21	Frozil20	97
21	avalan64	97
23	beeperbeeper5	93
24	TechnoNinja64	88
25	Blackberry1310	85
26	ThiccExotic	79
27	El_Jalapeno	78
27	Kowcio_	78
29	joethahobo	74
30	Merv__	72
30	thescout7	72
32	DarlaMeow	67
32	YungMaki	67
34	vandmanden	66
35	TheSecondLord	64
36	kekhon	60
37	TheDankPlatypus	52
38	lcvezra	50
39	Jackattack53	48
40	nocturne78	47
41	luseis	45
42	surfinggiraffejp	44
43	MinttyFressh	42
44	Zoeyfortnite	39
45	Jovaphobic	38
46	500am	37
47	Werbe	35
47	sufjanlover	35
47	Tyrannosplart	35
50	PhantomsGhost_	34
50	MyNameIsJobo	34
50	Zythose	34
53	Groundler	33
53	Spacewardharpy7	33
55	NomadicRobin_	32
56	nattybears	31
56	H72l9w	31
58	WET_WET_WET	30
58	stavgod	30
60	SellyZ	29
60	LexMakesHistory	29
62	ApophisNova	28
62	MyNamaSheff	28
64	MattieHD	27
64	ItsMrRamen	27
66	Akoot_	24
67	ImpavidArcher	22
67	EveryonesUncle	22
67	Hisiste	22
70	Lord_Jord	21
70	Steelynan	21
72	m_be9	20
73	Kubelz	19
73	mihimihimihi	19
75	pintsizedrogue	18
75	SaintJosie	18
75	Ezekson	18
78	ElectricDragon81	17
79	NebulousBadger	16
80	Warlord324	15
81	_TCARREIRA_	14
82	Groovy_MoonBird	13
82	gcaisawesome	13
82	jedi_george	13
82	wTXop	13
82	Racengan	13
82	Nicserso	13
82	Legendosh	13
89	ColeSnyder	12
89	ThePoliteG	12
89	potato292	12
89	benediktine1	12
89	AJplaysMC_	12
89	Bumpy419	12
89	DTwenty	12
89	OverallConcept	12
97	q_wq	11
97	TooManyDuck	11
97	Comma__	11
97	12Magner05	11
97	burbankbuilder28	11
97	Xclax101	11
97	Soplight	11
104	H0UNDFRMH3LL	10
104	BigBootyHudge	10
104	Natty	10
104	Prismyst	10
104	SPUDonSTEROIDS	10
104	_Karmaa	10
104	xzvu	10
104	PortlyPete69	10
104	bitsplease	10
104	JayToe	10
114	NatalieTW	9
114	TheMilkerOfCats	9
114	Historical_Sand	9
