rank	username	minecraft:dropped/minecraft:lime_wool
1	noam464	52898
2	thewindmillman	48688
3	EcksD	15162
4	Hermanni__	3456
5	HellsSponge	3339
6	ConnorDanky_	3125
7	Hyp3rion_	3101
8	eitanzaki	2058
9	beeperbeeper5	756
10	SyK7	592
11	Blaiku	530
12	Werbe	368
13	CattSoup	320
14	Huwulling	192
14	oreee	192
14	Fullut	192
17	xolstoi	185
18	IamCL4SSY	150
19	SvenskaHugo	133
20	Kyrum2169	131
21	Crowman1	128
21	paranoid_plant	128
23	AdmiralSmoke	115
24	Legendosh	106
25	PigDab	96
26	Kowcio_	94
27	lordpipe	80
28	AlexxO_o	68
29	Inbefour	67
30	teslawolf38	64
30	MattieHD	64
30	MeanTugger	64
30	Maenara	64
30	Shogunite	64
35	fr0stss	61
36	Blu3beast	60
36	skrongus	60
38	TheSecondLord	59
39	Eraxa	52
40	Spacewardharpy7	45
41	stavgod	42
42	TechnoNinja64	27
43	Nycteus_	26
44	handsome_strong	25
45	Xclax101	23
46	redikul	16
46	Di_infiri	16
48	YungMaki	13
49	jnp_gaming	10
50	joethahobo	8
50	500am	8
50	Segotep999	8
53	PortlyPete69	7
54	_Huge_Male_	6
54	heckface	6
54	xxPipperDipperxx	6
57	pintsizedrogue	5
57	BPTY4618	5
57	PazinGaming	5
60	SaucyDark	4
60	Manaateee	4
60	alkrie	4
63	Mahoose	3
63	FreakGenius	3
63	GravitySaint	3
63	AssFullaCum	3
63	Soplight	3
63	laron58	3
63	HesDemonPants	3
70	Smashic	2
70	Chromary	2
70	Lord_Jord	2
70	EveryonesUncle	2
70	NameGenerat0r	2
70	UCP_TheKingK	2
70	djancak	2
77	Frozil20	1
77	ManlyAdjective	1
77	rarrq	1
77	Blackberry1310	1
77	Comma__	1
77	jushykins	1
77	Kkanot	1
77	Kamflame10	1
77	Scathra	1
77	luseis	1
77	OverallConcept	1
77	The_slideV3	1
77	weabis	1
77	Njensen7	1
77	Skippeh	1
77	Quotary	1
