rank	username	minecraft:dropped/minecraft:yellow_bed
1	PigDab	134
2	YungMaki	36
3	pixelviolin	14
4	Blaiku	8
5	beeperbeeper5	5
5	Snowflowe	5
7	Jackattack53	4
7	Kowcio_	4
7	Segotep999	4
7	Wanjibon	4
11	pintsizedrogue	3
11	EMC_	3
11	BlancoFlaco	3
11	Akoot_	3
11	EveryonesUncle	3
11	HellsSponge	3
11	Spacewardharpy7	3
11	Zoeyfortnite	3
19	Bandito_Roamer	2
19	bigstankyy	2
19	Xalithia	2
19	mimbo1211	2
19	Rebytre	2
19	Skylord_Luke	2
19	AlexxO_o	2
19	Blu3beast	2
19	Xclax101	2
19	oxfordschool	2
29	ImpavidArcher	1
29	hm947	1
29	T045RTY	1
29	Myrlewen	1
29	picardred	1
29	Chickenchaser2	1
29	kekhon	1
29	Awyrlas	1
29	ROY4LE	1
29	TylerDupree	1
29	benediktine1	1
29	TableTim	1
29	ImDisconnected_	1
29	thewindmillman	1
29	bee_gorl	1
29	Moofyman	1
29	Loraxonlyfans	1
29	victorLIE	1
29	Maenara	1
29	Wowful	1
29	NomadicRobin_	1
29	Freak_Genius	1
29	MightyWertu	1
29	JosephCW	1
29	MakeHistory157	1
29	IdeallyGrey	1
29	UCP_TheKingK	1
29	Soplight	1
29	anbbang	1
29	Ezekson	1
29	PlasticOtari	1
