rank	username	minecraft:dropped/minecraft:white_stained_glass
1	noam464	34462
2	Spacewardharpy7	7309
3	eitanzaki	2856
4	thewindmillman	2767
5	Blaiku	1244
6	lordpipe	1190
7	Racengan	720
8	jnp_gaming	628
9	emrekn	619
10	beeperbeeper5	578
11	lillips	473
12	anbbang	394
13	Di_infiri	374
14	Akoot_	369
15	PigDab	344
16	Mahoose	312
17	Werbe	268
17	AssEatrAndLicker	268
19	obzii	247
20	Hyp3rion_	208
21	Blu3beast	204
22	__tomato	192
23	rarrq	148
23	kekhon	148
25	Jackattack53	132
26	ApophisNova	128
26	YungMaki	128
26	MyNamaSheff	128
29	jcool7	118
30	KG1999	107
31	EcksD	106
32	Smoke____	103
33	MightyWertu	102
34	XboxPanda	90
35	ssleepless	68
36	Xalithia	67
37	Arceus1975	66
38	_Dean_123	64
38	Eraxa	64
40	ayqq	57
41	Eerini	55
42	Inchef	54
43	ImpavidArcher	51
44	kinas45y5	48
45	T045RTY	36
45	Chromary	36
47	SpookyDraggin	30
47	NameGenerat0r	30
49	Afinnity	29
50	Wowful	24
51	titanlax	23
52	Blackberry1310	22
53	Freak_Genius	20
54	pintsizedrogue	19
55	SaucyDark	15
56	h2p_emrld	9
57	oxfordschool	8
58	Iagoku	6
58	xxPipperDipperxx	6
58	wTXop	6
58	RobotMinion101	6
58	MeetTheWollo	6
63	m_be9	5
63	Frozil12	5
63	Enderslayerxz3	5
66	q_wq	4
66	CliffEmAll	4
66	Parcc	4
66	Groundler	4
66	GlitchyPlate810	4
71	JESS_THE_RERE	3
71	stavgod	3
71	jaimshae	3
71	Ezekson	3
75	PhantomsGhost_	2
75	jimintyy	2
75	CoffeeNoir	2
75	Rox_The_Box	2
75	r123moore	2
75	Inbefour	2
75	_Karmaa	2
75	Kyrum2169	2
75	SSytex_X	2
75	ProbsNotNova	2
75	sebastiensaborio	2
75	Winston_Ingram	2
75	TechnoNinja64	2
75	Sral7	2
89	_Virify_	1
89	livingdaydreams	1
89	SteveCraftBlocks	1
89	thescout7	1
89	NotMeanttoChange	1
89	Skylord_Luke	1
89	DarlaMeow	1
89	PortlyPete69	1
89	Zoeyfortnite	1
