rank	username	minecraft:dropped/minecraft:polished_blackstone_stairs
1	joethahobo	468
2	EveryonesUncle	160
3	Mattesco	119
4	Lez_	84
5	beeperbeeper5	71
6	Solar_Power	70
6	FreakGenius	70
8	TheSecondLord	68
9	500am	67
10	eitanzaki	65
11	SteveCraftBlocks	63
12	Hyp3rion_	62
13	Jakobo1337	61
14	noam464	57
15	EcksD	32
16	pintsizedrogue	26
17	kekhon	24
18	k_ce	22
19	Spenduh	14
20	TheWildMateo	12
21	lordpipe	11
22	SmashingPump	8
23	CalebDHawk	4
23	Winston_Ingram	4
25	PazinGaming	3
25	Jackattack53	3
25	Rebytre	3
25	ScootOfBoot	3
29	Sorry_Arey	2
30	ITDV	1
30	bloodbiter	1
30	_Dean_123	1
30	luseis	1
30	UCP_TheKingK	1
30	Legendosh	1
