rank	username	minecraft:dropped/minecraft:redstone_torch
1	Hyp3rion_	1305673
2	noam464	54547
3	Jackattack53	18456
4	thewindmillman	13796
5	SteveCraftBlocks	12348
6	Spacewardharpy7	8254
7	eitanzaki	2185
8	Elastiq	2051
9	EcksD	568
10	Akoot_	302
11	Di_infiri	280
12	kekhon	274
13	Xclax101	245
14	thescout7	212
15	Blaiku	199
16	PigDab	198
17	beeperbeeper5	194
18	Spaghettatron	180
19	joethahobo	173
20	es0th	168
21	lordpipe	163
22	Nicserso	147
23	emreknugrlu	139
24	Mahoose	134
25	Yamdalorian	126
26	weabis	125
27	le4ves	124
27	Skippeh	124
27	Aryamanee	124
30	rarrq	123
31	TechnoNinja64	120
32	_Mythic____	118
33	MightyWertu	115
34	Kowcio_	96
35	Alteriity	80
36	Fuad_R	77
37	Eczbek	71
38	ECstardust	69
39	Huwulling	67
39	Lez_	67
39	milltesco	67
42	Studio4x32	66
43	EdGalbraith	64
43	Dogcorn69420	64
45	HellsSponge	62
46	Zee_zey	57
47	akap47	56
47	Rainaldus	56
49	pintsizedrogue	54
50	bl1ss0	53
51	Wowful	52
52	mwrty	47
53	MattieHD	46
53	Manaateee	46
55	censorsheep	45
56	mihimihimihi	44
57	r123moore	40
58	Spenduh	38
59	CLG_Kata	37
59	knarian	37
59	stavgod	37
62	_witch_craft_	35
63	Cocoamallows	34
64	fffMike	33
65	Hisiste	32
66	Comma__	30
66	EveryonesUncle	30
66	WyngGoy	30
69	EMC_	29
69	oscminus	29
69	Blu3beast	29
72	_i_ERROR_i_	28
73	Blackberry1310	27
74	DairyNickel756	26
75	M_Patata	25
76	WET_WET_WET	23
77	CalebDHawk	22
78	luseis	20
79	seanitoo	19
79	Incinere	19
79	xxPipperDipperxx	19
79	Mr_Froxy	19
83	theonlymagikarp	18
83	Racengan	18
85	PhantomsGhost_	17
85	FreakGenius	17
85	Luigipunch989	17
88	m_be9	16
89	Frozil20	15
89	6king6colt6	15
89	Wooptey	15
89	LilLizardWizard	15
89	Maenara	15
89	LexMakesHistory	15
89	Jij0	15
89	SSytex_X	15
89	jcool7	15
89	jnp_gaming	15
99	Rasmanden	14
99	ReyTheLegend	14
101	Secret_Canary	13
101	prizm_	13
101	burbankbuilder28	13
101	InchoateOyster	13
101	Shin69	13
106	k_ce	12
106	Tommhh	12
106	Afinnity	12
106	DracZz	12
110	Arceus1975	11
110	__tomato	11
112	Werbe	10
112	GooseWithin	10
114	robertsnose	9
114	bigstankyy	9
114	ImpavidArcher	9
114	fr0stss	9
114	Fullut	9
114	lorpus	9
114	EfficientC52	9
114	PortlyPete69	9
114	ConnorDanky_	9
114	TwinTowerV2	9
124	wx4z	8
124	MovingFish7	8
124	TheKingK_	8
127	q_wq	7
127	T045RTY	7
127	Ssor69	7
127	12Magner05	7
127	gamerlord1324	7
127	_Duckery	7
127	_Karmaa	7
127	IlkeCookes_	7
127	doublemaki	7
127	SammiWolfGirl	7
127	Jimb0nat0r	7
138	H0UNDFRMH3LL	6
138	TheSecondLord	6
138	Nach0Bear	6
138	NotMeanttoChange	6
138	Xalithia	6
138	benediktine1	6
138	Bumpy419	6
138	NomadicRobin_	6
138	Inbefour	6
138	JESS_THE_RERE	6
138	The_slideV3	6
138	MAns_44	6
138	Groundler	6
138	Ezekson	6
152	Groovy_MoonBird	5
152	BadenOnGod	5
152	carloselpapii	5
152	Malorn_Aetherius	5
152	Cryptacity	5
152	Inchef	5
152	Kubelz	5
152	XxSiebzxX	5
152	Rumpletaezer	5
152	Skylord_Luke	5
152	RobotMinion101	5
152	Mattesco	5
152	Quaintster	5
152	SvenskaHugo	5
152	Kyrum2169	5
152	Steelynan	5
152	hermmm_	5
169	PazinGaming	4
169	shineh10	4
169	Ryan_GEMS	4
169	Ozixar	4
169	Fullbit_	4
169	andy_rex	4
169	kars0n	4
169	Onennon	4
169	lizardfightclub	4
169	TheSeismicDuck	4
169	audiocracked	4
169	GoofyBread	4
169	DarlaMeow	4
169	Soap_Bender	4
169	yyatsuta	4
169	ediballbearings	4
169	xzvu	4
169	miramyu	4
169	NATE_the_HALO	4
169	MilleGrug	4
169	11Brewer	4
169	cichy096	4
169	Enderxz3	4
169	PlasticOtari	4
169	Jordan_R	4
194	ssleepless	3
194	NotP0tato	3
194	SaucyDark	3
194	MSK__	3
194	Swexti	3
194	jacxhadow	3
194	Lor1113	3
194	craaaash	3
194	Azmodan_246	3
194	ooga47	3
194	AlexxO_o	3
194	Tyrannosplart	3
194	El_Jalapeno	3
194	Swiffin	3
194	_MeowMix	3
194	MakeHistory157	3
194	Soplight	3
194	ProbsNotNova	3
194	VentiHilton	3
194	Quotary	3
214	_Virify_	2
214	soundad	2
214	AshleeCW	2
214	diamondgolem35	2
214	Minimize501	2
214	Literally_Rat	2
214	ShedJr_	2
214	FirsTimeGamingTV	2
214	NieToksikpl	2
214	500am	2
214	ringmasterzeke	2
214	Awyrlas	2
214	eviltunix	2
214	Cellcorgi649	2
214	imcombxt	2
214	NotKaden_	2
214	arcanemagic	2
214	Kakolbus	2
214	Aiko_Kawashima	2
214	fr_ser	2
214	MyNameIsJobo	2
214	SuperPooch06	2
214	Chromary	2
214	yaboo88	2
214	Krowuss	2
214	Hiryu27	2
214	TheWildMateo	2
214	F_Uhre	2
214	KeruNatsema	2
214	Luminad3	2
214	IamCL4SSY	2
214	Shogunite	2
214	Bloo2406	2
214	Gus2005	2
214	_flud	2
214	monky_irl	2
214	bruh072	2
214	Strangemonkey71	2
214	Eraxa	2
214	starbits140	2
214	non089	2
214	KingMatthew506	2
214	Vellu21	2
214	Kubeusz2010	2
214	HesDemonPants	2
214	Powowowow	2
214	FishisTTV	2
261	TheRomanNoodles1	1
261	Bandito_Roamer	1
261	Tobinator_007	1
261	JohnnyFyes	1
261	_Huge_Male_	1
261	SoosAmongus	1
261	dabloons	1
261	Merv__	1
261	AuroraValkyrie	1
261	TildaAndrea	1
261	SlowMoNinja1994	1
261	Sleek_Storm_721	1
261	I_Am_Mushkin	1
261	Caribouse	1
261	NutellaPenguinz	1
261	hm947	1
261	Zippyzam	1
261	abdomera	1
261	SyntheticSurgeon	1
261	lorywithay	1
261	lotarp	1
261	CoffeeNoir	1
261	Prismyst	1
261	SquadMonster	1
261	Euclidoris	1
261	Prodiginus	1
261	picardred	1
261	InfernalMound	1
261	_Dean_123	1
261	i2f8x4h8ro	1
261	set67	1
261	KGTV	1
261	SellyZ	1
261	2Stout	1
261	gcaisawesome	1
261	John6970	1
261	shadowthemonkey	1
261	mariominejedi	1
261	Gzrdy	1
261	Useless_Relic	1
