rank	username	minecraft:dropped/minecraft:birch_wood
1	Smoke____	41
2	noam464	32
3	Mahoose	21
4	Groundler	12
5	Di_infiri	6
6	lotarp	1
6	ProfessorBee	1
6	Deerfoot	1
6	ayamefag	1
6	lcvezra	1
