rank	username	minecraft:dropped/minecraft:lime_bed
1	SvenskaHugo	65
2	T045RTY	59
3	Blu3beast	33
4	beeperbeeper5	19
5	Xalithia	14
6	Sheldor097	11
7	HellsSponge	10
8	eitanzaki	4
8	noam464	4
8	Blaiku	4
11	500am	3
11	YungMaki	3
13	fanofbands101	2
13	Freak_Genius	2
13	Spacewardharpy7	2
13	TheEnderman548	2
17	pintsizedrogue	1
17	joethahobo	1
17	Blackberry1310	1
17	TylerDupree	1
17	WarMachina	1
17	genesis2501	1
17	PigDab	1
17	jewbacaman	1
17	XeroByMyth	1
17	oxfordschool	1
17	EcksD	1
17	Enderslayerxz3	1
