rank	username	minecraft:dropped/minecraft:dark_oak_slab
1	FreakGenius	1642
2	thewindmillman	1375
3	kekhon	545
4	eitanzaki	379
5	rarrq	331
6	lillips	319
7	k_ce	313
8	KingMatthew506	268
9	beeperbeeper5	266
10	Tobinator_007	223
11	2Stout	221
12	H0UNDFRMH3LL	189
13	Xclax101	187
14	diamondgolem35	146
15	Akoot_	139
16	500am	132
17	Frozil20	128
17	ibarker21	128
19	SammiWolfGirl	124
20	djancak	123
21	Blackberry1310	121
21	0Vyp_	121
23	fkGrim	119
24	Skippeh	118
25	anbbang	117
26	fluddd	116
27	TheSecondLord	109
27	Kowcio_	109
29	Kura2218	107
30	Chromary	103
31	SvenskaHugo	99
31	xzvu	99
33	Merv__	94
34	burbankbuilder28	93
34	Leyna3	93
36	Lez_	92
37	SquadMonster	88
37	Ssor69	88
39	jacxhadow	87
40	SaucyDark	81
41	Uzbeki_John	80
42	Smashic	77
43	Eraxa	71
44	Yahir091	70
45	UCP_TheKingK	68
46	intropass	67
47	jnp_gaming	66
48	paranoid_plant	64
48	NotTrixi	64
48	CharlieButt	64
48	Jackattack53	64
52	ZaneABrain	61
53	ConnorDanky_	60
54	moonman169	58
55	Groovy_MoonBird	56
56	hm947	55
57	Wowful	54
58	thescout7	53
58	Enderxz3	53
60	NomadicRobin_	52
60	iSammael	52
62	Rebytre	50
63	gcaisawesome	49
64	33sudo	48
65	ImpavidArcher	47
65	LeEricc	47
67	RebelAndroid	45
68	binman420	42
69	Mattesco	41
70	SteveCraftBlocks	39
70	MyNameIsJobo	39
72	JoCoLi	38
73	NameGenerat0r	37
74	Skylord_Luke	36
74	SaintJosie	36
74	jewishnoselong	36
77	noam464	34
78	YungMaki	33
78	Ezekson	33
80	AlphaWolfPlaysMC	32
80	Blu3beast	32
82	Steelynan	31
83	pappaberg	30
83	CalebDHawk	30
85	HellsSponge	29
86	k1ngGilgamesh	28
86	lcvezra	28
88	MyNameIsDakar	26
89	Onennon	25
90	LittleBug562	24
90	FishyBoy3811	24
92	Blaiku	23
93	Mahoose	22
93	420BreadLizard	22
93	vandmanden	22
96	DinoDoctor_	21
96	EveryonesUncle	21
98	SellyZ	20
98	Arceus1975	20
98	Quaintster	20
101	PortlyPete69	19
101	Hermanni__	19
103	SmashingPump	18
103	Di_infiri	18
103	theofiel	18
103	xolstoi	18
107	Yirtle	16
107	Mister3z	16
107	ItsJunoIGuess	16
110	Jeteight	15
110	silverpopcorn	15
112	FirsTimeGamingTV	14
112	Inchef	14
112	Kynigito	14
112	monky_irl	14
112	Soplight	14
117	Bumpy419	13
117	dartwaffle	13
117	cichy096	13
117	TechnoNinja64	13
121	_Razaria	12
121	CliffEmAll	12
121	fr_ser	12
121	Kyrum2169	12
125	JasmineGK	11
126	Ryker	10
126	_Karmaa	10
126	PlasticOtari	10
129	Fullut	8
129	Werbe	8
129	Lord_Jord	8
129	Nycteus_	8
129	starbits140	8
129	EcksD	8
135	Esme_1	7
135	12Magner05	7
135	MineMaster0012	7
135	TheOuterCore	7
139	Sleek_Storm_721	6
139	KarlKaek	6
139	joethahobo	6
139	IamCL4SSY	6
139	censorsheep	6
139	Winston_Ingram	6
145	RosaDoesMC	5
145	Jakobo1337	5
145	emrekn	5
145	fallingemma	5
145	RoofTyler	5
145	DarlaMeow	5
145	jcool7	5
152	Base_Tempest	4
152	MrKrabOnCoke	4
152	Sleepy_Time_	4
152	heckface	4
152	_Dean_123	4
152	Kkanot	4
152	PigDab	4
152	TheShyPig	4
152	parodypatient	4
152	DTwenty	4
152	_Bguette_	4
152	DarkS0L	4
152	ItzWqlfy	4
152	lordpipe	4
152	Mythic1130	4
152	RealGroot	4
152	WYFYoyo	4
169	Bandito_Roamer	3
169	m_be9	3
169	Nicky_H225	3
169	SPUDonSTEROIDS	3
169	benediktine1	3
169	XboxPanda	3
169	Gamergirl420628	3
169	Hyp3rion_	3
169	Hiryu27	3
169	groofles	3
169	Inbefour	3
169	El_Jalapeno	3
169	MovingFish7	3
169	__tomato	3
183	seanitoo	2
183	Ailmast	2
183	T045RTY	2
183	SyntheticSurgeon	2
183	Swalt	2
183	Euclidoris	2
183	Rich_Kat	2
183	CyrusIsTired	2
183	set67	2
183	lorpus	2
183	olliebollie48	2
183	Deathkob	2
183	Tyrannosplart	2
183	Shogunite	2
183	MAns_44	2
183	OffWithTheirHead	2
183	Hisiste	2
183	Spacewardharpy7	2
183	Dusk_95	2
183	Ze_BaronKrigler	2
183	LeeMcGee30	2
183	MilleGrug	2
183	smogfrog	2
183	Powowowow	2
183	2bolx_	2
183	FishisTTV	2
209	Jovaphobic	1
209	PhantomsGhost_	1
209	Cowison	1
209	LeDuctTape	1
209	Vynser	1
209	Huwulling	1
209	ITDV	1
209	Historical_Sand	1
209	LoboTheLobster	1
209	Rorrofighter	1
209	Malorn_Aetherius	1
209	Crowman1	1
209	_Nuf	1
209	UnderKat	1
209	ketaminmann	1
209	KGTV	1
209	PegLegPete93	1
209	M_Patata	1
209	Karetoko	1
209	Armattillo	1
209	Hoid_the_Roamer	1
209	tobinwilliams	1
209	RobotMinion101	1
209	Truckoss	1
209	LeGold	1
209	thgrocks	1
209	ADEXTV	1
209	yulgur1	1
209	JoeSaysBingBong	1
209	Meatlaugh	1
209	marumochis	1
209	the__Reaper4999	1
209	Typadopoulos	1
209	Warlord324	1
209	MasterNueve	1
209	obzii	1
209	HAruSAme14	1
209	Njensen7	1
209	alderban107	1
209	ZoomieZoomie	1
209	RoboTramp7865	1
209	Biites	1
