rank	username	minecraft:dropped/minecraft:deepslate_tile_wall
1	thewindmillman	1324
2	Hyp3rion_	1183
3	RebelAndroid	86
4	crashomon	64
4	Yamdalorian	64
6	Jackattack53	33
7	k_ce	26
8	TheBananaKat	8
9	Gzrdy	5
9	Kowcio_	5
11	groofles	4
12	Mr_Byzantine	3
12	SpacesickPrism	3
14	myaccountwasgone	2
14	beeperbeeper5	2
14	CalebDHawk	2
17	EMC_	1
17	MrKrabOnCoke	1
17	hanaryheatwave	1
17	Mattesco	1
17	Manaateee	1
17	Buuck_	1
17	Spacewardharpy7	1
17	StarCookiees_	1
17	Segotep999	1
17	DairyNickel756	1
17	PlasticOtari	1
