rank	username	minecraft:dropped/minecraft:prismarine_slab
1	Blaiku	974
2	gcaisawesome	399
3	eitanzaki	340
4	noam464	282
5	NatalieTW	147
6	Di_infiri	113
7	PigDab	85
8	HellsSponge	64
9	beeperbeeper5	34
10	Swexti	27
11	hm947	20
11	Legendosh	20
13	jcool7	18
14	ougstur	9
15	Hyp3rion_	8
16	Snowflowe	7
17	Blu3beast	6
17	MilleGrug	6
19	CliffEmAll	5
20	xxPipperDipperxx	4
20	luseis	4
22	Onennon	2
22	FishisTTV	2
24	joethahobo	1
24	SteveCraftBlocks	1
24	ooga47	1
24	Manaateee	1
24	TechnoNinja64	1
24	Yamdalorian	1
