rank	username	minecraft:dropped/minecraft:bone
1	Spacewardharpy7	558441
2	Hyp3rion_	556096
3	thewindmillman	253430
4	Frozil20	216130
5	PigDab	50438
6	Blaiku	49968
7	noam464	22369
8	StinkyDiplomat	12982
9	Jackattack53	10822
10	El_Jalapeno	8200
11	eitanzaki	7310
12	lordpipe	5885
13	HellsSponge	4586
14	MightyWertu	3911
15	beeperbeeper5	3857
16	Masssonnn	3775
17	k_ce	3440
18	luseis	3379
19	joethahobo	2979
20	YungMaki	2336
21	Ezekson	2225
22	SvenskaHugo	2161
23	_Bguette_	2089
24	mwrty	1960
25	thescout7	1738
26	TechnoNinja64	1668
27	Mahoose	1665
28	Tyrannosplart	1637
29	Blu3beast	1636
30	AdmiralSmoke	1633
31	Di_infiri	1625
32	FreakGenius	1623
33	Segotep999	1604
34	EveryonesUncle	1395
35	Blackberry1310	1280
36	Zythose	1244
37	Warlord324	1195
38	Blenderyoda	1155
39	Eraxa	1149
40	censorsheep	1110
41	Kakolbus	1099
42	rarrq	1075
43	Kowcio_	1043
44	EcksD	989
45	vandmanden	970
46	Fullut	952
47	Soplight	943
48	RebelAndroid	918
49	Groovy_MoonBird	883
50	KarlKaek	839
51	NameGenerat0r	803
52	Skippeh	801
53	WYFYoyo	779
54	Racengan	764
55	Mewar	754
56	Zoeyfortnite	742
57	ebanana	728
58	Manaateee	718
58	Xclax101	718
60	lcvezra	674
61	gcaisawesome	665
62	NomadicRobin_	653
63	Covalents	613
64	Quaintster	610
65	Steelynan	596
66	ConnorDanky_	576
67	Nicserso	574
68	Snowflowe	573
69	PortlyPete69	570
70	jnp_gaming	561
71	mihimihimihi	534
72	kekhon	533
73	non089	529
74	Enderxz3	520
75	TheSecondLord	498
76	calamariclam_I	497
77	SaucyDark	485
78	pintsizedrogue	475
79	500am	474
80	jcool7	473
81	Alteriity	458
82	Arceus1975	456
83	Paintz	451
84	zOnlyKroks	445
85	Ssor69	441
86	xzvu	423
87	ApophisNova	414
87	MyNamaSheff	414
89	Bumpy419	413
90	Winklepicker279	406
91	CrateOfBoxes	396
92	Hiryu27	395
93	m_be9	383
94	soundad	382
95	H0UNDFRMH3LL	378
96	The11thDoctor	375
97	Akoot_	364
98	Corbsman	363
99	Cowison	359
99	Werbe	359
101	AlexxO_o	347
101	Lord_Jord	347
103	EMC_	344
104	Nach0Bear	340
105	Skylord_Luke	338
106	SaintJosie	337
107	lillips	324
108	FishisTTV	321
109	aec9	302
110	tuckerdoodle	301
111	BlueZabu	299
111	Rebytre	299
113	Lez_	295
114	legal_tax_evader	292
115	ImpavidArcher	279
116	excelsionprime	278
117	MrKrabOnCoke	276
118	fr_ser	271
119	_Karmaa	270
120	MovingFish7	266
121	BlancoFlaco	263
122	T045RTY	260
123	Soul_Atreus	258
124	platinumzero	257
124	Cocoamallows	257
126	set67	255
127	Killercatty78	249
127	Maenara	249
129	DarlaMeow	247
130	h2p_emrld	246
131	I_Am_Mushkin	242
132	Onennon	237
132	Spenduh	237
134	WET_WET_WET	235
135	SkateboardR6	234
136	lotarp	231
137	AshleeCW	228
137	Kamflame10	228
139	Hpdinosaur	227
140	GravitySaint	216
140	_TCARREIRA_	216
142	MilleGrug	215
143	Secret_Canary	214
143	ougstur	214
145	F_Uhre	203
145	LeonelSalamanca	203
147	_Virify_	202
147	QueenShuvi	202
149	Queen_Jalapeno	199
150	Bandito_Roamer	196
150	Chromary	196
152	Smashic	191
152	M_Patata	191
154	AuroraValkyrie	186
155	eviltunix	183
156	PazinGaming	180
156	Wowful	180
158	_i_ERROR_i_	174
159	SquadMonster	173
160	diamondgolem35	172
161	weabis	171
162	alderban107	170
163	Jovaphobic	168
163	Krowuss	168
163	HolyVenom	168
166	Rumpletaezer	167
167	MasterNueve	163
168	MattieHD	162
168	ooga47	162
168	Kubeusz2010	162
171	WyngGoy	159
172	cichy096	158
173	Merv__	157
173	Kura2218	157
175	Iamthejo	155
176	Touched_Bread	153
176	RobotMinion101	153
178	pixelviolin	150
179	12Magner05	148
180	Mattesco	146
180	MAns_44	146
182	q_wq	145
183	Fuad_R	143
183	fluddd	143
185	Dogcorn69420	142
186	SammiWolfGirl	141
187	MoistMicrowave	140
187	Jonafrog99	140
189	boog4loo	139
189	Deathkob	139
191	Jimb0nat0r	137
192	_Nuf	135
193	dudcreeper	133
193	groofles	133
195	SwooshBoi	131
196	fade_emerge78823	130
197	JayToe	129
198	ECstardust	128
198	r123moore	128
198	SullyhS	128
198	fw3xy74	128
202	THEKINGLyric10	126
203	Crowman1	125
203	Njensen7	125
205	UncreativeArtist	124
205	UrbanPlanningEx	124
207	lorpus	122
208	Flores991	121
208	masskedman	121
208	Groundler	121
211	ColeSnyder	120
212	Da_Boss_Rani	119
212	IamCL4SSY	119
212	KingMatthew506	119
215	seramalen	117
216	Awyrlas	116
216	wezzzi	116
218	ROY4LE	115
219	Xalithia	112
219	fffMike	112
219	FelixPSY375	112
222	stavgod	111
223	TheWildMateo	108
223	Powowowow	108
225	hanaryheatwave	107
226	SpaceGrenadier	106
226	bluefragmentt	106
228	Historical_Sand	105
228	33sudo	105
230	obzii	104
231	Hermanni__	103
232	Huwulling	102
232	Nicky_H225	102
232	zToasty69z	102
235	nocturne78	101
236	shadowthemonkey	100
237	SellyZ	99
238	Apollo_993	96
238	BreadBacon	96
240	CoffeeNoir	95
240	XboxPanda	95
242	Comma__	94
242	NATE_the_HALO	94
244	_Dean_123	93
244	_Mythic____	93
244	Faart	93
247	PhantomsGhost_	91
248	TheSeismicDuck	89
248	HesDemonPants	89
250	Hisiste	88
250	Strangemonkey71	88
252	Kyrum2169	87
253	Inchef	86
253	burbankbuilder28	86
253	CalebDHawk	86
256	ProfessorBee	85
256	yulgur1	85
256	RadarHz	85
259	_lildarki3	84
259	sp00ky_ghost977	84
259	ayamefag	84
262	Incinere	82
263	chlorinex	81
263	CollinMH06	81
263	silverpopcorn	81
263	Jij0	81
267	PlzNoBM	80
267	MirielThePastor	80
269	MunkaKris	79
269	djancak	79
269	2blox_	79
269	skrongus	79
273	__tomato	78
274	Rasmanden	75
274	audiocracked	75
276	jimintyy	74
277	6king6colt6	73
277	301851	73
277	Giannism	73
277	RedcatVII	73
281	SmashingPump	71
281	ZaneABrain	71
281	SteveCraftBlocks	71
284	TheDankPlatypus	70
284	Meatlaugh	70
286	Sral7	69
287	CLG_Kata	68
287	tartanboy	68
289	NieToksikpl	67
289	fallingemma	67
289	SvenskaAlvar	67
292	JETrotter	66
292	geekbird	66
294	DanTheBuilderino	65
295	EfficientC52	64
295	MakeHistory157	64
295	knzil	64
298	emrekn	62
298	AlphaWolfPlaysMC	62
