rank	username	minecraft:dropped/minecraft:cut_copper
1	thewindmillman	292
2	milltesco	218
3	Mattesco	130
4	TheSecondLord	69
5	bl1ss0	64
5	U_Mos_	64
5	Pumpkin_P_Patch	64
8	00000000-0000-0000-0009-01f570995a20	24
9	Moofyman	16
10	k_ce	12
10	Kowcio_	12
12	TheKingK_	9
13	craaaash	7
14	luseis	5
15	Touched_Bread	4
16	Manaateee	2
16	StinkyDiplomat	2
18	_stets	1
18	Lez_	1
