rank	username	minecraft:dropped/minecraft:diamond_block
1	EcksD	1075933
2	Frozil12	14182
3	500am	6267
4	kekhon	3304
5	Hyp3rion_	2741
6	Akoot_	1388
7	joethahobo	973
8	beeperbeeper5	819
9	Blaiku	817
10	Werbe	759
11	Comma__	567
12	thewindmillman	425
13	Di_infiri	406
14	Blu3beast	385
15	eitanzaki	382
16	Freak_Genius	361
17	oxfordschool	324
18	_Dean_123	304
19	Spacewardharpy7	268
20	rarrq	243
21	Soplight	220
22	Smashic	219
23	lillips	218
24	HellsSponge	206
25	Segotep999	196
26	Blackberry1310	160
27	SammiWolfGirl	146
28	vandmanden	142
29	stahouo	133
29	alderban107	133
31	Ezekson	131
32	teslawolf38	126
33	Kyrum2169	118
34	somegirl12_	110
35	YungMaki	109
36	The_slideV3	103
36	jnp_gaming	103
38	fffMike	99
39	Eraxa	96
39	TechnoNinja64	96
41	MattieHD	95
42	Spenduh	94
43	pintsizedrogue	93
44	TheSecondLord	86
45	PhantomsGhost_	85
46	PigDab	81
47	Mahoose	73
48	prizm_	72
49	Racengan	67
50	claivin	65
51	fade_emerge78823	64
51	tsitrawhy	64
53	BlancoFlaco	63
54	6king6colt6	62
55	Skylord_Luke	61
55	ThatMan_Dave	61
57	Fuad_R	59
57	MightyWertu	59
59	I_Am_Mushkin	58
59	Historical_Sand	58
59	Inbefour	58
62	Inchef	57
62	Marbz_	57
64	Scathra	56
64	Chromary	56
64	Rebytre	56
67	MilleGrug	54
68	Hiryu27	53
69	SteveCraftBlocks	51
69	NomadicRobin_	51
69	Steelynan	51
72	SuperPooch06	50
73	ImpavidArcher	48
74	Notta	46
74	XboxPanda	46
76	Smoke____	45
77	MakeHistory157	44
78	fred870d	43
78	WyngGoy	43
80	JEWISHBadenBeele	42
80	Drlzyy	42
82	SvenskaHugo	41
83	Cocoamallows	37
83	jcool7	37
85	itburb	33
85	noam464	33
85	SBean737	33
85	_Bguette_	33
89	fluddd	32
89	Groundler	32
89	Eczbek	32
92	himak1	31
92	ProbsNotNova	31
92	h2p_emrld	31
95	_Virify_	30
95	fr0stss	30
97	AlexxO_o	28
97	ItsJunoIGuess	28
99	eviltunix	27
100	Merv__	26
100	masskedman	26
100	__tomato	26
103	FirsTimeGamingTV	25
103	Arceus1975	25
105	CheesyToess	24
105	HolyVenom	24
105	Enderslayerxz3	24
105	PlasticOtari	24
109	Awyrlas	23
109	lordpipe	23
111	Zythose	22
111	LeGold	22
113	EMC_	21
113	T045RTY	21
113	AlazelTheReal	21
113	bloodbiter	21
113	pixelviolin	21
118	Xclax101	20
119	KG1999	19
120	ToastedGamingYT	18
121	Sleepy_Time_	16
121	Jackattack53	16
121	SkateboardR6	16
124	Groovy_MoonBird	15
124	bigstankyy	15
124	groofles	15
124	anbbang	15
124	EcksDofficial	15
129	CaptainDeadBread	14
129	Mattesco	14
129	Maenara	14
129	KingMatthew506	14
133	Dedalus36	13
133	set67	13
133	Snowflowe	13
136	Da_Boss_Rani	12
136	SellyZ	12
136	burbankbuilder28	12
139	DemTechAlpha	11
140	IronArshXS	10
140	LilyNova	10
140	Sqwishy	10
140	KliBeast21	10
140	Sky_light_KING	10
145	mimbo1211	9
145	SexcMf	9
145	lcvezra	9
148	Sabby65	8
148	MinttyFressh	8
148	Corbsman	8
148	EveryonesUncle	8
148	Skippeh	8
153	Fullut	7
153	2Stout	7
153	Faart	7
156	Huwulling	6
156	m_be9	6
156	mwrty	6
156	Wowful	6
156	FreddyFart	6
156	FlashMigma	6
162	RebelAndroid	5
162	Nach0Bear	5
162	Rumpletaezer	5
162	fxiryglitch	5
162	Optiprimus	5
162	00000000-0000-0000-0009-01f898304150	5
168	RosaDoesMC	4
168	diamondgolem35	4
168	gabriels543	4
168	TheShyPig	4
168	Leithz6	4
168	MineMaster0012	4
168	FallenCorps	4
168	Powowowow	4
176	Menthas	3
176	NieToksikpl	3
176	12Magner05	3
176	_Nuf	3
176	gcaisawesome	3
176	Hoid_the_Roamer	3
176	HyperCave	3
176	Kim_Jong_eel	3
176	_Karmaa	3
176	geekbird	3
176	Momomia1997	3
176	ayamefag	3
176	SSytex_X	3
176	Zoeyfortnite	3
190	error10101	2
190	ShedJr_	2
190	H72l9w	2
190	301851	2
190	Euclidoris	2
190	Z3braYTIL	2
190	fallingemma	2
190	CollinMH06	2
190	loveseeker	2
190	MangoTheFish	2
190	fw3xywashere	2
190	godipose	2
190	chipklip	2
190	DarlaMeow	2
190	NameGenerat0r	2
190	Shogunite	2
190	Meeerkat	2
190	_TCARREIRA_	2
190	PortlyPete69	2
190	GlitchyPlate810	2
190	CalebDHawk	2
190	Dreamdbr14	2
190	Hermanni__	2
190	Sral7	2
190	Northernrabbit	2
215	HBA00_	1
215	JohnnyFyes	1
215	abramgray	1
215	CueMix	1
215	dabloons	1
215	Sleek_Storm_721	1
215	Lukeee33	1
215	starburst300	1
215	awesomeoneme	1
215	Myszoaz	1
215	YungJakobo	1
215	ProfessorBee	1
215	Mewar	1
215	ROY4LE	1
215	r123moore	1
215	08061945	1
215	fr_ser	1
215	MyNameIsJobo	1
215	ooga47	1
215	_naturell	1
215	thgrocks	1
215	Lord_Jord	1
215	Lord_Zacler	1
215	Jiminie	1
215	NYJ	1
215	LexMakesHistory	1
215	Karbl	1
215	DanTheBuilderino	1
215	censorsheep	1
215	Warlord324	1
215	Ze_BaronKrigler	1
215	Nagasaki_Riku	1
215	Luigipunch989	1
215	mawileite	1
215	Nicserso	1
215	FelixPSY375	1
215	AltnumberF4	1
215	Legendosh	1
215	aao001	1
215	WYFYoyo	1
215	Kateesaur	1
