rank	username	minecraft:dropped/minecraft:glow_ink_sac
1	thewindmillman	52033
2	lordpipe	959
3	joethahobo	862
4	non089	336
5	Hyp3rion_	295
6	diamondgolem35	140
7	500am	120
8	pintsizedrogue	119
9	Marbz_	110
10	pixelviolin	105
11	Kowcio_	97
12	SteveCraftBlocks	92
13	RealGroot	84
14	Secret_Canary	71
14	AlexxO_o	71
16	beeperbeeper5	64
17	q_wq	63
17	Smoke____	63
19	NomadicRobin_	58
20	weabis	57
21	binman420	55
22	luseis	54
23	EtherealEspresso	50
24	k_ce	49
25	Jackattack53	41
26	Human_Resource	40
27	MrKrabOnCoke	39
28	mihimihimihi	36
29	Masssonnn	34
30	EMC_	32
31	Lez_	31
31	fade_emerge78823	31
33	AuroraSkies	30
33	shrimp_flips	30
35	hm947	28
35	noam464	28
37	Killercatty78	27
37	gusstationwerker	27
37	00000000-0000-0000-0009-01ff0c3e5e4f	27
40	Fuad_R	26
41	Rebytre	25
42	NATE_the_HALO	24
42	MilleGrug	24
44	Spacewardharpy7	21
45	GlitchyPlate810	20
46	RebelAndroid	19
46	Prismyst	19
46	Smashic	19
46	WYFYoyo	19
50	YungMaki	18
50	Enderxz3	18
52	EveryonesUncle	16
53	12Magner05	15
53	Luminad3	15
53	Wowful	15
56	Mahoose	13
57	NoHaHeHa	12
57	Soplight	12
59	XboxPanda	11
59	Racengan	11
59	calamariclam_I	11
62	LeDuctTape	10
62	gcaisawesome	10
62	0Vyp_	10
62	Dan_Scha	10
66	H0UNDFRMH3LL	9
66	SyntheticSurgeon	9
68	YairZaki	8
68	Di_infiri	8
68	hanaryheatwave	8
68	TheALV	8
72	Saltymart	7
72	critNoxx	7
72	UCP_TheKingK	7
72	Ezekson	7
72	Jimb0nat0r	7
77	Zombie__TW	6
77	shineh10	6
77	bananamix994	6
77	Mattesco	6
77	SvenskaAlvar	6
77	DarkS0L	6
77	00000000-0000-0000-0009-01f073f37a91	6
84	Myszoaz	5
84	Kkanot	5
84	zToasty69z	5
84	Skippeh	5
84	FishisTTV	5
84	00000000-0000-0000-0009-01fbab7ea71d	5
90	SmashingPump	4
90	DinoDoctor_	4
90	eitanzaki	4
90	Alteriity	4
90	KGTV	4
90	BronkerBrum	4
90	fw3xywashere	4
90	MyNameIsDakar	4
90	Templar_David	4
90	LazySupport00	4
90	MNMann44	4
90	Iamthejo	4
90	EcksD	4
103	Krasnal1337	3
103	MuffinManzz	3
103	Merv__	3
103	ITDV	3
103	fuyyuu_oke	3
103	lorpus	3
103	ItsRyanM8	3
103	Snowflowe	3
103	Solar_Power	3
103	nut_e	3
103	seramalen	3
103	groofles	3
103	TJawesome09	3
103	H_O_M_H	3
103	Agent108	3
103	StinkyDiplomat	3
103	Quaintster	3
103	Sheldor097	3
103	EngagedGrub41	3
103	MissCeleste7	3
123	SDW_Insanity	2
123	Apollo_993	2
123	tuckerdoodle	2
123	Da_Boss_Rani	2
123	SquadMonster	2
123	Inchef	2
123	Kakolbus	2
123	Winklepicker279	2
123	Jonafrog99	2
123	Arceus1975	2
123	Silvo614	2
123	Elastiq	2
123	majlin16	2
123	MAns_44	2
123	OffWithTheirHead	2
123	IdeallyGrey	2
123	KujikawaRisechi	2
123	Ryn777	2
123	CalebDHawk	2
123	2bolx_	2
123	PlasticOtari	2
123	MasterOwen1	2
145	Frozil20	1
145	ImpavidArcher	1
145	T045RTY	1
145	TAKrules	1
145	Huwulling	1
145	TheSecondLord	1
145	ROY4LE	1
145	Cellcorgi649	1
145	CollinMH06	1
145	SlayerCrypto	1
145	HyperCave	1
145	KeruNatsema	1
145	ZA07	1
145	Akoot_	1
145	420BreadLizard	1
145	Tiktola01	1
145	FreakGenius	1
145	Blu3beast	1
145	Nycteus_	1
145	Eraxa	1
145	Mythic1130	1
145	Kekoo	1
145	LeEricc	1
145	athereall	1
145	CattSoup	1
145	AltnumberF4	1
145	bladeefan2009	1
