rank	username	minecraft:dropped/minecraft:acacia_leaves
1	lillips	1513
2	noam464	933
3	beeperbeeper5	365
4	Segotep999	232
5	FreakGenius	219
6	Frozil20	213
7	ImpavidArcher	176
8	OffWithTheirHead	128
9	eitanzaki	118
10	fkGrim	87
11	Blackberry1310	78
12	Soplight	55
13	Blaiku	51
13	erkada	51
15	r123moore	47
16	Di_infiri	43
17	Meatlaugh	40
18	Quaintster	39
19	AdmiralSmoke	34
20	jnp_gaming	33
21	TechnoNinja64	32
22	eiC_	29
22	xzvu	29
24	kekhon	25
25	TheSeismicDuck	19
25	YungMaki	19
27	HellsSponge	18
28	BlancoFlaco	17
28	Fullut	17
30	Zaridey	14
30	thewindmillman	14
30	mihimihimihi	14
30	Steelynan	14
34	Kyrum2169	13
35	Werbe	10
35	FelixPSY375	10
37	youhjjhhhjj	9
37	Marbz_	9
39	corvidpartyfor6	8
40	Alteriity	7
40	Onennon	7
40	luseis	7
40	Legendosh	7
44	TheSecondLord	6
44	Ezekson	6
46	dimondking777	5
46	Rich_Kat	5
46	Akoot_	5
46	Spacewardharpy7	5
46	smogfrog	5
46	JasmineGK	5
46	xolstoi	5
53	Apollo_993	4
53	Bumpy419	4
53	El_Jalapeno	4
56	12Magner05	3
56	Rumpletaezer	3
56	h2p_emrld	3
59	JESS_THE_RERE	2
59	Kowcio_	2
61	PhantomsGhost_	1
61	Cowison	1
61	Mahoose	1
61	joethahobo	1
61	Winklepicker279	1
61	Hyp3rion_	1
61	Snowflowe	1
61	Toowny	1
61	Lutres_	1
61	Tyrannosplart	1
61	__tomato	1
61	stellarjay	1
61	Sheldor097	1
61	Aryamanee	1
61	Jimb0nat0r	1
61	calamariclam_I	1
