rank	username	minecraft:dropped/minecraft:writable_book
1	Mahoose	462
2	luseis	422
3	SteveCraftBlocks	328
4	Kowcio_	327
5	joethahobo	161
6	beeperbeeper5	159
7	Soplight	96
8	Akoot_	94
9	kekhon	92
10	lordpipe	89
11	Spacewardharpy7	75
12	Lez_	67
13	AdmiralSmoke	60
14	Frozil20	56
15	pintsizedrogue	54
16	Sleek_Storm_721	46
17	Blackberry1310	45
18	Jackattack53	37
19	Ezekson	36
20	FreakGenius	35
20	SammiWolfGirl	35
22	Smashic	34
22	YungMaki	34
24	ConnorDanky_	32
25	noam464	31
26	xxPipperDipperxx	30
27	hanaryheatwave	29
28	Huwulling	28
28	TheSecondLord	28
28	Eraxa	28
31	Blu3beast	26
32	Hyp3rion_	22
33	ImpavidArcher	19
33	Xalithia	19
33	Blaiku	19
33	Enderxz3	19
37	k_ce	18
38	Legendosh	17
38	PlasticOtari	17
40	Lord_Jord	16
41	SpouHn	15
41	KingMatthew506	15
43	ECstardust	14
43	TechnoNinja64	14
45	eitanzaki	13
45	rarrq	13
45	set67	13
45	GoofyBread	13
45	Steelynan	13
50	T045RTY	12
50	Zythose	12
50	Manaateee	12
50	fluddd	12
50	skrongus	12
50	xolstoi	12
56	Fullut	11
56	Krowuss	11
56	oscminus	11
56	The_Cruncy	11
56	EveryonesUncle	11
61	Merv__	10
61	Saucepeh	10
61	bloodbiter	10
61	lorpus	10
61	Arceus1975	10
61	NomadicRobin_	10
61	Racengan	10
61	xzvu	10
69	Alteriity	9
69	500am	9
69	fr_ser	9
69	AlexxO_o	9
69	_Bguette_	9
69	EcksD	9
75	Groovy_MoonBird	8
75	Mr_Byzantine	8
75	I_Am_Mushkin	8
75	_Dean_123	8
75	r123moore	8
75	StarCookiees_	8
81	EMC_	7
81	thescout7	7
81	Chromary	7
81	_Boipl_	7
81	Skylord_Luke	7
81	Deathkob	7
81	StinkyDiplomat	7
88	Raltemoxitonica	6
88	Historical_Sand	6
88	Werbe	6
88	DarlaMeow	6
88	HellsSponge	6
88	claivin	6
88	Segotep999	6
88	CalebDHawk	6
88	Dreamdbr14	6
88	Eczbek	6
88	Nicserso	6
88	Jimb0nat0r	6
100	Di_infiri	5
100	PigDab	5
100	Wowful	5
100	SvenskaHugo	5
100	Hermanni__	5
105	chipklip	4
105	6king6colt6	4
105	bigstankyy	4
105	lunathelemon	4
105	jacxhadow	4
105	MattieHD	4
105	2Stout	4
105	thewindmillman	4
105	Snowflowe	4
105	Felenov	4
105	Mattesco	4
105	lillips	4
105	Xclax101	4
105	Druid95	4
105	carbo_bro	4
105	_Mythic____	4
105	Kyrum2169	4
105	MineMaster0012	4
105	__tomato	4
105	SpacesickPrism	4
105	alderban107	4
105	Sral7	4
127	SoosAmongus	3
127	SmashingPump	3
127	fr0stss	3
127	Inchef	3
127	gcaisawesome	3
127	IronyMan69	3
127	Kakolbus	3
127	SuperPooch06	3
127	Bumpy419	3
127	ApophisNova	3
127	FishyBoy3811	3
127	Nateman1000	3
127	Fuad_R	3
127	_Karmaa	3
127	WyngGoy	3
127	UCP_TheKingK	3
127	Vellu21	3
127	MyNamaSheff	3
127	jnp_gaming	3
146	Krasnal1337	2
146	Iagoku	2
146	Incinere	2
146	lorywithay	2
146	jessewegottacook	2
146	SnowyAvi	2
146	jushykins	2
146	12Magner05	2
146	LeauVox4921	2
146	Karetoko	2
146	Marbz_	2
146	nitram49b	2
146	yheece	2
146	MalcMan13	2
146	burbankbuilder28	2
146	CrateOfBoxes	2
146	SvenskaSara	2
146	tobinwilliams	2
146	Hiryu27	2
146	HolyVenom	2
146	Luminad3	2
146	GooseWithin	2
146	LeonelSalamanca	2
146	masskedman	2
146	aldplaysmc	2
146	Tyrannosplart	2
146	NameGenerat0r	2
146	Quaintster	2
146	GravitySaint	2
146	Lunkuku	2
146	SkateboardR6	2
146	mihimihimihi	2
146	MakeHistory157	2
146	SexcMf	2
146	BudLight_	2
146	pixelviolin	2
146	Spenduh	2
146	_i_ERROR_i_	2
146	Kubeusz2010	2
146	Quotary	2
146	cichy096	2
146	MadmanRaven	2
188	TheBiggestFeller	1
188	Jovaphobic	1
188	Zee_zey	1
188	Deu_Stew	1
188	RoskobiOne	1
188	_stets	1
188	dabloons	1
188	PazinGaming	1
188	teslawolf38	1
188	TildaAndrea	1
188	q_wq	1
188	KarlKaek	1
188	TheMilkerOfCats	1
188	diamondgolem35	1
188	Creativebuilder2	1
188	Isaac70096	1
188	_Razaria	1
188	SyntheticSurgeon	1
188	Natty	1
188	ZaneABrain	1
188	lotarp	1
188	MemeBoi_XD	1
188	Prismyst	1
188	Cats_Fly	1
188	Archsam	1
188	MrKrabOnCoke	1
188	oreee	1
188	SquadMonster	1
188	Sleepy_Time_	1
188	elmer1234	1
188	Shazzyling	1
188	ChampPog_	1
188	picardred	1
