rank	username	minecraft:dropped/minecraft:purpur_block
1	beeperbeeper5	589
2	Blu3beast	402
3	Freak_Genius	342
4	Smoke____	306
5	PigDab	235
6	Di_infiri	232
7	jnp_gaming	211
8	gabriels543	210
9	lordpipe	204
10	masskedman	195
11	yulgur1	185
12	Fullut	179
13	Hpdinosaur	172
14	Maenara	141
15	lillips	139
16	Dogcorn69420	138
17	Frozil12	134
18	Bumpy419	133
19	jcool7	128
20	Nicserso	124
21	gcaisawesome	120
22	eitanzaki	111
23	PhantomsGhost_	104
24	noam464	103
25	NameGenerat0r	94
26	Lepthymo	90
27	MustaLoordi	89
28	stahouo	85
29	6king6colt6	83
30	Blaiku	74
30	TechnoNinja64	74
32	Mewar	73
32	Onennon	73
32	Sral7	73
35	_TCARREIRA_	71
36	surfinggiraffejp	70
37	HellsSponge	69
38	YungMaki	66
39	Awyrlas	65
40	Covalents	60
40	EveryonesUncle	60
42	Werbe	55
42	AssEatrAndLicker	55
44	Historical_Sand	54
45	Katthaj	51
46	Kowcio_	50
47	audiocracked	49
48	mwrty	47
49	JohnnyFyes	45
50	thewindmillman	40
51	lcvezra	39
52	DTwenty	38
52	Deodorante	38
54	MilleGrug	36
55	Houstonion	35
56	Hisiste	33
57	Jackattack53	32
58	Inchef	30
58	fkGrim	30
60	Zythose	29
60	Skippeh	29
62	vandmanden	26
63	fluddd	25
64	Comma__	24
65	Quotary	22
66	kinas45y5	21
67	SvenskaHugo	20
68	Dedalus36	18
69	Iagoku	17
69	MyNameIsJobo	17
69	Akoot_	17
72	Blackberry1310	16
72	Groundler	16
72	FishisTTV	16
75	EMC_	15
75	LilyNova	15
75	Rasmanden	15
75	Xclax101	15
75	Racengan	15
80	T045RTY	14
80	TheSecondLord	14
80	ROY4LE	14
80	Enderslayerxz3	14
84	thescout7	12
84	claivin	12
84	CalebDHawk	12
87	Noah_Bez	11
88	Rich_Kat	10
89	__TheNorseMan__	9
89	XboxPanda	9
89	CollinMH06	9
89	wezzzi	9
89	WyngGoy	9
89	striker90333	9
89	EcksD	9
96	MixerDixer	8
96	TooManyDuck	8
98	Mahoose	7
98	MovingFish7	7
98	geekbird	7
98	TheEnderman548	7
98	MissCeleste7	7
103	RebelAndroid	6
103	jushykins	6
103	Kakolbus	6
103	ElectricDragon81	6
103	tartanboy	6
103	AltnumberF4	6
109	Quaintster	5
109	Spacewardharpy7	5
109	izzybearh	5
112	lizardfightclub	4
112	TheTrueClipse	4
112	501g	4
112	Nycteus_	4
112	Winston_Ingram	4
112	Ezekson	4
112	UrbanPlanner1978	4
119	Groovy_MoonBird	3
119	SaucyDark	3
119	kekhon	3
119	Marbz_	3
119	Donutt	3
119	Leonidas2k17	3
119	Inbefour	3
119	Zoeyfortnite	3
127	ImpavidArcher	2
127	_Razar	2
127	Leksanda	2
127	500am	2
127	Vetral1	2
127	FishyBoy3811	2
127	Cocoamallows	2
127	Nagasaki_Riku	2
127	Spenduh	2
127	Kferno	2
127	Legendosh	2
127	2blox	2
127	Faart	2
140	THExMuffinx	1
140	ssleepless	1
140	Sabby65	1
140	CoffeeNoir	1
140	Myszoaz	1
140	MinttyFressh	1
140	ProfessorBee	1
140	crying_wolf_13	1
140	egglapras	1
140	Sagaram	1
140	Hyp3rion_	1
140	MustardDrinker	1
140	DAD_1996	1
140	The11thDoctor	1
140	fred870d	1
140	OtariCharlie	1
140	NomadicRobin_	1
140	Shogunite	1
140	Strangemonkey71	1
140	brofrickcheaters	1
140	Chuglyfe	1
140	Hermanni__	1
