rank	username	minecraft:dropped/minecraft:bamboo
1	Hyp3rion_	299164
2	thewindmillman	232469
3	noam464	75595
4	non089	69319
5	doublemaki	45811
6	lpinfinity	42787
7	eitanzaki	41654
8	joethahobo	24356
9	Hisiste	23339
10	Jackattack53	21717
11	FreakGenius	20783
12	PhantomsGhost_	19177
13	Hiryu27	15912
14	Jimb0nat0r	14152
15	HellsSponge	12077
16	ConnorDanky_	11975
17	vandmanden	10975
18	Blu3beast	10445
19	eviltunix	10400
20	k_ce	8922
21	AstreaTSS	8786
22	Frozil20	8770
23	Blaiku	8580
24	T045RTY	7914
25	pixelviolin	7332
26	mwrty	6975
27	Werbe	6159
28	H0UNDFRMH3LL	5715
29	EveryonesUncle	5495
30	Spacewardharpy7	4919
31	Kakolbus	4670
32	Fuad_R	4505
33	beeperbeeper5	4435
34	Kowcio_	4414
35	Steelynan	3354
36	WyngGoy	3298
37	Rani_R	3280
38	theonlymagikarp	3264
39	Segotep999	3139
40	mymayowasgone	2952
41	SuperPooch06	2757
42	pintsizedrogue	2691
43	Di_infiri	2659
44	Kura2218	2619
45	Enderxz3	2613
46	Sheldor097	2597
47	_Nuf	2589
48	ZaneABrain	2492
49	Yamdalorian	2376
50	kekhon	2199
51	_darky1_	1996
52	Quaintster	1959
53	TechnoNinja64	1840
54	djancak	1834
55	Marbz_	1808
56	kalzor	1749
57	Solar_Power	1728
58	akap47	1704
59	zToasty69z	1668
60	Blackberry1310	1663
61	BlancoFlaco	1614
62	TwinTowerV2	1611
63	Mahoose	1540
64	Huwulling	1537
65	EMC_	1521
66	MovingFish7	1482
67	ImpavidArcher	1463
68	hanaryheatwave	1455
69	groofles	1426
70	Soap_Bender	1369
71	Airem_Core	1365
72	Myszoaz	1348
73	masskedman	1333
74	valiSW	1299
75	_Duckery	1276
76	crying_wolf_13	1237
77	DASH_X7	1192
78	IamCL4SSY	1174
79	SteveCraftBlocks	1166
80	FishisTTV	1146
81	Candad_	1117
82	PigDab	1115
83	caesarleon	1093
83	Luigipunch989	1093
85	Bumpy419	1091
86	Incinere	1070
87	Manaateee	1055
88	Warlord324	1029
89	TheShyPig	1024
90	xzvu	1010
91	Gregward_Smith	969
92	RobotMinion101	957
93	Pumpkin_P_Patch	920
94	_witch_craft_	889
95	TheSandwhich_	887
96	Moetis	850
97	Arceus1975	796
98	Gundam_Steven	789
99	Houstonion	768
100	rarrq	739
101	Hpdinosaur	726
102	Synthoum	720
103	_i_ERROR_i_	707
104	jessemgaming	652
105	Onennon	640
106	Alteriity	633
107	Skylord_Luke	627
108	oscminus	605
108	claivin	605
110	Soplight	603
111	cuddlyMonster	598
112	Ezekson	592
113	HAIRYCLOUD626	578
114	MilleGrug	576
115	thescout7	559
116	weabis	539
117	Aftrbrnr	512
118	drunkeeez	508
119	Smashic	502
120	mariominejedi	497
120	ayamefag	497
122	royal_2	493
123	luseis	485
124	Saucepeh	482
124	UncreativeArtist	482
124	ROY4LE	482
127	yatsuta	479
128	es0th	470
129	The_slideV3	464
130	Lutres_	463
131	CoffeeNoir	453
132	M_Patata	451
133	KingMatthew506	448
134	dudcreeper	445
135	LuvLuvLove	443
136	eiC_	440
137	ECstardust	437
137	ShedJr_	437
139	Mr_Froxy	427
140	lordpipe	413
141	Fullbit_	404
142	Lord_Jord	398
143	emreknugrlu	395
144	Colmer94	394
145	bigstankyy	392
146	MattieHD	391
147	Franco093	390
148	lotarp	388
149	Studio4x32	372
150	TheKingK_	362
151	00000000-0000-0000-0009-01ff0c3e5e4f	359
152	NATE_the_HALO	356
153	Zenlou	354
154	laron58	353
155	fkGrim	335
155	33sudo	335
157	Powowowow	332
158	Nicserso	330
159	rotten_mango	326
160	Malorn_Aetherius	313
161	legal_tax_evader	309
162	MakeHistory157	307
163	Prodiginus	302
164	audiocracked	300
164	EcksD	300
166	Fullut	296
167	Isaac70096	288
168	ChrisKyleST3	282
169	fr0stss	270
170	Rebytre	269
171	nocturne78	256
171	censorsheep	256
171	Njensen7	256
174	NameGenerat0r	254
175	Kijiki	252
176	Capss	251
177	Inbefour	250
178	heckface	249
179	Comma__	246
179	blackeemperor	246
181	IdeallyGrey	244
182	_KuruKuru	243
183	__tomato	231
184	TheWildMateo	228
185	bl1ss0	224
186	Tyrannosplart	221
187	Doom_melon	214
188	GoofyBread	212
188	EfficientC52	212
190	Inchef	207
191	impossibleteapot	202
192	Digcove	198
192	Mattesco	198
194	TheWickedBird	196
195	goldyx	192
195	Gus2005	192
195	LordBlaze11	192
198	Nicky19	187
199	robonya_	185
200	Bonkal	184
201	heysushii	183
202	calamariclam_I	175
203	Maenara	174
204	Touched_Bread	169
204	Jimi7hits	169
